|       | Just Dance Kids 2014                                                     | Ubisoft                                | Nintendo Wii U | 2014 | NTSC (NA)
|       | Just Dance: Disney Party 2                                               | Ubisoft                                | Nintendo Wii U | 2015 | NTSC (NA)
|       | Kirby and the Rainbow Curse                                              | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | Kung Fu Panda: Showdown of Legendary Legends                             | Little Orbit                           | Nintendo Wii U | 2015 | NTSC (NA)
|       | Legend of Kay Anniversary                                                | Nordic Games Publishing                | Nintendo Wii U | 2015 | NTSC (NA)
|       | Legend of Zelda: Breath of the Wild, The                                 | Nintendo                               | Nintendo Wii U | 2017 | NTSC (NA)
|       | Legend of Zelda: The Wind Waker HD, The                                  | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Legend of Zelda: Twilight Princess HD, The                               | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | LEGO Batman 2: DC Super Heroes                                           | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | NTSC (NA)
|       | LEGO Batman 3: Beyond Gotham                                             | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | NTSC (NA)
|       | LEGO City Undercover                                                     | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Lego Dimensions                                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2015 | NTSC (NA)
|       | LEGO Jurassic World                                                      | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2015 | NTSC (NA)
|       | LEGO Marvel Super Heroes                                                 | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | NTSC (NA)
|       | LEGO Marvel's Avengers                                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2016 | NTSC (NA)
|       | LEGO Movie Videogame, The                                                | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | NTSC (NA)
|       | LEGO Star Wars: The Force Awakens                                        | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2016 | NTSC (NA)
|       | LEGO The Hobbit                                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | NTSC (NA)
|       | Madden NFL 13                                                            | EA Sports                              | Nintendo Wii U | 2012 | NTSC (NA)
|       | Mario & Sonic at the Rio 2016 Olympic Games                              | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | Mario & Sonic at the Sochi 2014 Olympic Winter Games                     | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Mario Kart 8                                                             | Nintendo                               | Nintendo Wii U | 2014 | NTSC (NA)
|       | Mario Party 10                                                           | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | Mario Tennis: Ultra Smash                                                | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | Marvel Avengers: Battle for Earth                                        | Ubisoft                                | Nintendo Wii U | 2012 | NTSC (NA)
|       | Mass Effect 3: Special Edition                                           | Electronic Arts                        | Nintendo Wii U | 2012 | NTSC (NA)
|       | Mighty No. 9                                                             | Deep Silver                            | Nintendo Wii U | 2016 | NTSC (NA)
|       | Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure | Telltale Games                         | Nintendo Wii U | 2016 | NTSC (NA)
|       | Minecraft: Wii U Edition                                                 | Mojang AB                              | Nintendo Wii U | 2016 | NTSC (NA)
|       | Mini-Mario & Friends: amiibo Challenge                                   | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | Monster High: 13 Wishes                                                  | Little Orbit                           | Nintendo Wii U | 2013 | NTSC (NA)
