|       | Are You Smarter Than a 5th Grader? Make the Grade                          | THQ                                    | PlayStation 2 | 2008 | NTSC (NA)
|       | Area 51                                                                    | Midway                                 | PlayStation 2 | 2005 | NTSC (NA)
|       | Arena Football                                                             | EA Sports                              | PlayStation 2 | 2006 | NTSC (NA)
|       | Arena Football: Road to Glory                                              | EA Sports                              | PlayStation 2 | 2007 | NTSC (NA)
|       | Armored Core 2                                                             | Agetec Inc.                            | PlayStation 2 | 2000 | NTSC (NA)
|       | Armored Core 2: Another Age                                                | Agetec Inc.                            | PlayStation 2 | 2001 | NTSC (NA)
|       | Armored Core 3                                                             | Agetec Inc.                            | PlayStation 2 | 2002 | NTSC (NA)
|       | Armored Core: Last Raven                                                   | Agetec Inc.                            | PlayStation 2 | 2006 | NTSC (NA)
|       | Armored Core: Nexus                                                        | Agetec Inc.                            | PlayStation 2 | 2004 | NTSC (NA)
|       | Armored Core: Nine Breaker                                                 | Agetec Inc.                            | PlayStation 2 | 2005 | NTSC (NA)
|       | Army Men: Air Attack 2                                                     | 3DO                                    | PlayStation 2 | 2001 | NTSC (NA)
|       | Army Men: Green Rogue                                                      | 3DO                                    | PlayStation 2 | 2001 | NTSC (NA)
|       | Army Men: RTS                                                              | 3DO                                    | PlayStation 2 | 2002 | NTSC (NA)
|       | Army Men: Sarge's Heroes 2                                                 | 3DO                                    | PlayStation 2 | 2001 | NTSC (NA)
|       | Army Men: Soldiers of Misfortune                                           | DSI Games                              | PlayStation 2 | 2008 | NTSC (NA)
|       | Art of Fighting Anthology                                                  | SNK Playmore                           | PlayStation 2 | 2007 | NTSC (NA)
|       | Arthur and the Invisibles                                                  | Atari                                  | PlayStation 2 | 2007 | NTSC (NA)
|       | Asterix & Obelix: Kick Buttix                                              | Atari                                  | PlayStation 2 | 2004 | NTSC (NA)
|       | Astro Boy                                                                  | Sega                                   | PlayStation 2 | 2004 | NTSC (NA)
|       | Astro Boy: The Video Game                                                  | D3Publisher                            | PlayStation 2 | 2009 | NTSC (NA)
|       | Atari Anthology                                                            | Atari                                  | PlayStation 2 | 2004 | NTSC (NA)
|       | Atelier Iris 2: The Azoth of Destiny                                       | NIS America                            | PlayStation 2 | 2006 | NTSC (NA)
|       | Atelier Iris 3: Grand Phantasm                                             | NIS America                            | PlayStation 2 | 2007 | NTSC (NA)
|       | Atelier Iris: Eternal Mana                                                 | NIS America                            | PlayStation 2 | 2005 | NTSC (NA)
|       | Athens 2004                                                                | SCEA                                   | PlayStation 2 | 2004 | NTSC (NA)
|       | ATV Offroad Fury                                                           | SCEA                                   | PlayStation 2 | 2001 | NTSC (NA)
|       | ATV Offroad Fury 2                                                         | SCEA                                   | PlayStation 2 | 2002 | NTSC (NA)
|       | ATV Offroad Fury 3                                                         | SCEA                                   | PlayStation 2 | 2004 | NTSC (NA)
|       | ATV Offroad Fury 4                                                         | SCEA                                   | PlayStation 2 | 2006 | NTSC (NA)
|       | ATV Quad Power Racing 2                                                    | Acclaim                                | PlayStation 2 | 2003 | NTSC (NA)
|       | Auto Modellista                                                            | Capcom                                 | PlayStation 2 | 2003 | NTSC (NA)
|       | Avatar - The Last Airbender: Into the Inferno                              | THQ                                    | PlayStation 2 | 2008 | NTSC (NA)
|       | Avatar: The Last Airbender                                                 | THQ                                    | PlayStation 2 | 2006 | NTSC (NA)
|       | Avatar: The Last Airbender - The Burning Earth                             | THQ                                    | PlayStation 2 | 2007 | NTSC (NA)
|       | B-Boy                                                                      | Evolved Games                          | PlayStation 2 | 2008 | NTSC (NA)
|       | Backyard Baseball                                                          | Atari                                  | PlayStation 2 | 2004 | NTSC (NA)
|       | Backyard Baseball '09                                                      | Atari                                  | PlayStation 2 | 2008 | NTSC (NA)
|       | Backyard Baseball '10                                                      | Atari                                  | PlayStation 2 | 2009 | NTSC (NA)
|       | Backyard Basketball                                                        | Atari                                  | PlayStation 2 | 2003 | NTSC (NA)
|       | Backyard Football '08                                                      | Atari                                  | PlayStation 2 | 2007 | NTSC (NA)
|       | Backyard Football 2006                                                     | Atari                                  | PlayStation 2 | 2005 | NTSC (NA)
|       | Backyard Football 2009                                                     | Atari                                  | PlayStation 2 | 2008 | NTSC (NA)
|       | Backyard Football 2010                                                     | Atari                                  | PlayStation 2 | 2009 | NTSC (NA)
|       | Backyard Sports Baseball 2007                                              | Atari                                  | PlayStation 2 | 2006 | NTSC (NA)
|       | Backyard Sports Basketball 2007                                            | Atari                                  | PlayStation 2 | 2007 | NTSC (NA)
|       | Backyard Wrestling 2: There Goes the Neighborhood                          | Eidos Interactive                      | PlayStation 2 | 2004 | NTSC (NA)
|       | Backyard Wrestling: Don't Try This at Home                                 | Eidos Interactive                      | PlayStation 2 | 2003 | NTSC (NA)
|       | Bad Boys: Miami Takedown                                                   | Crave                                  | PlayStation 2 | 2004 | NTSC (NA)
|       | Bakugan Battle Brawlers                                                    | Activision                             | PlayStation 2 | 2009 | NTSC (NA)
|       | Baldur's Gate: Dark Alliance                                               | VU Games                               | PlayStation 2 | 2001 | NTSC (NA)
|       | Baldur's Gate: Dark Alliance II                                            | Interplay                              | PlayStation 2 | 2004 | NTSC (NA)
|       | Band Hero                                                                  | Activision                             | PlayStation 2 | 2009 | NTSC (NA)
|       | Barbarian                                                                  | Titus Software                         | PlayStation 2 | 2002 | NTSC (NA)
|       | Barbie as The Island Princess                                              | Activision                             | PlayStation 2 | 2007 | NTSC (NA)
|       | Barbie Horse Adventures: Riding Camp                                       | Activision                             | PlayStation 2 | 2008 | NTSC (NA)
|       | Barbie Horse Adventures: Wild Horse Rescue                                 | Universal Interactive                  | PlayStation 2 | 2003 | NTSC (NA)
|       | Barbie in The 12 Dancing Princesses                                        | Activision                             | PlayStation 2 | 2006 | NTSC (NA)
|       | Bard's Tale, The                                                           | InXile Entertainment                   | PlayStation 2 | 2004 | NTSC (NA)
|       | Barnyard                                                                   | THQ                                    | PlayStation 2 | 2006 | NTSC (NA)
|       | Baroque                                                                    | ATLUS                                  | PlayStation 2 | 2008 | NTSC (NA)
|       | Bass Strike                                                                | THQ                                    | PlayStation 2 | 2001 | NTSC (NA)
|       | Batman Begins                                                              | EA Games                               | PlayStation 2 | 2005 | NTSC (NA)
|       | Batman: Rise of Sin Tzu                                                    | Ubisoft                                | PlayStation 2 | 2003 | NTSC (NA)
|       | Batman: Vengeance                                                          | Ubisoft                                | PlayStation 2 | 2001 | NTSC (NA)
|       | Battle Assault 3 featuring Gundam Seed                                     | Bandai                                 | PlayStation 2 | 2004 | NTSC (NA)
|       | Battle Engine Aquila                                                       | Atari                                  | PlayStation 2 | 2003 | NTSC (NA)
|       | Battlefield 2: Modern Combat                                               | EA Games                               | PlayStation 2 | 2005 | NTSC (NA)
|       | Battlestar Galactica                                                       | VU Games                               | PlayStation 2 | 2003 | NTSC (NA)
|       | Beat Down: Fists of Vengeance                                              | Capcom                                 | PlayStation 2 | 2005 | NTSC (NA)
|       | BeatMania                                                                  | Konami                                 | PlayStation 2 | 2006 | NTSC (NA)
|       | Bee Movie Game                                                             | Activision                             | PlayStation 2 | 2007 | NTSC (NA)
|       | Ben 10 Alien Force: Vilgax Attacks                                         | D3Publisher                            | PlayStation 2 | 2009 | NTSC (NA)
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                  | D3Publisher                            | PlayStation 2 | 2010 | NTSC (NA)
|       | Ben 10: Alien Force                                                        | D3Publisher                            | PlayStation 2 | 2008 | NTSC (NA)
|       | Ben 10: Protector of Earth                                                 | D3Publisher                            | PlayStation 2 | 2007 | NTSC (NA)
|       | Beyond Good & Evil                                                         | Ubisoft                                | PlayStation 2 | 2003 | NTSC (NA)
|       | Biathlon 2008                                                              | Conspiracy Entertainment               | PlayStation 2 | 2008 | NTSC (NA)
|       | Bible Game, The                                                            | Crave                                  | PlayStation 2 | 2005 | NTSC (NA)
|       | Big Idea's Veggie Tales: LarryBoy and the Bad Apple                        | Crave                                  | PlayStation 2 | 2006 | NTSC (NA)
|       | Big Mutha Truckers                                                         | THQ                                    | PlayStation 2 | 2003 | NTSC (NA)
|       | Big Mutha Truckers 2                                                       | THQ                                    | PlayStation 2 | 2005 | NTSC (NA)
|       | Bigs 2, The                                                                | 2K Sports                              | PlayStation 2 | 2009 | NTSC (NA)
|       | Bigs, The                                                                  | 2K Sports                              | PlayStation 2 | 2007 | NTSC (NA)
|       | Biker Mice from Mars                                                       | The Game Factory                       | PlayStation 2 | 2007 | NTSC (NA)
|       | Bionicle                                                                   | EA Games                               | PlayStation 2 | 2003 | NTSC (NA)
