|       | Famicom Tantei Club: Kieta Koukeisha - Zenpen                 | Nintendo              | Famicom Disk System | 1988 | NTSC (JP)
|       | Family Composer                                               | Tokyo Shoseki         | Famicom Disk System | 1987 | NTSC (JP)
|       | Final Commando: Akai Yousai                                   | Konami                | Famicom Disk System | 1988 | NTSC (JP)
|       | Fire Bam                                                      | HAL Labs              | Famicom Disk System | 1988 | NTSC (JP)
|       | Fire Rock                                                     | Use                   | Famicom Disk System | 1988 | NTSC (JP)
|       | Fuuun Shaolin Ken                                             | Jaleco Entertainment  | Famicom Disk System | 1987 | NTSC (JP)
|       | Fuuun Shaolin Ken: Ankoku no Maou                             | Jaleco Entertainment  | Famicom Disk System | 1988 | NTSC (JP)
|       | Galaga                                                        | Namco                 | Famicom Disk System | 1990 | NTSC (JP)
|       | Galaxian                                                      | Namco                 | Famicom Disk System | 1990 | NTSC (JP)
|       | Gall Force: Eternal Story                                     | HAL Labs              | Famicom Disk System | 1986 | NTSC (JP)
|       | Ginga Denshou: Galaxy Odyssey                                 | Imagineer             | Famicom Disk System | 1986 | NTSC (JP)
|       | Gokuraku Yuugi: Game Tengoku                                  | Sofel                 | Famicom Disk System | 1987 | NTSC (JP)
|       | Golf                                                          | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Goonies, The                                                  | Konami                | Famicom Disk System | 1988 | NTSC (JP)
|       | Green Beret                                                   | Konami                | Famicom Disk System | 1987 | NTSC (JP)
|       | Gun.Smoke                                                     | Capcom                | Famicom Disk System | 1988 | NTSC (JP)
|       | Gyruss                                                        | Konami                | Famicom Disk System | 1988 | NTSC (JP)
|       | Halley Wars                                                   | Taito Corporation     | Famicom Disk System | 1989 | NTSC (JP)
|       | Hao-Kun no Fushigi na Tabi                                    | SquareSoft            | Famicom Disk System | 1987 | NTSC (JP)
|       | Hikari Shinwa: Palutena no Kagami                             | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Hikaru Genji: Roller Panic                                    | Pony Canyon           | Famicom Disk System | 1989 | NTSC (JP)
|       | Hong Kong - Famimaga Disk Vol. 1                              | Tokuma Shoten         | Famicom Disk System | 1990 | NTSC (JP)
|       | I am a Teacher: Super Mario no Sweater                        | Royal Kougyou         | Famicom Disk System | 1986 | NTSC (JP)
|       | I am a Teacher: Teami no Kiso                                 | Royal Kougyou         | Famicom Disk System | 1986 | NTSC (JP)
|       | Ice Climber                                                   | Nintendo              | Famicom Disk System | 1988 | NTSC (JP)
|       | Ice Hockey                                                    | Nintendo              | Famicom Disk System | 1988 | NTSC (JP)
|       | Idol Hotline: Nakayama Miho no Tokimeki High School           | Nintendo              | Famicom Disk System | 1987 | NTSC (JP)
|       | Igo                                                           | Bullet Proof Software | Famicom Disk System | 1987 | NTSC (JP)
|       | Ishido                                                        | Hiro                  | Famicom Disk System | 1990 | NTSC (JP)
|       | Jaaman Tanteidan Marine Kumi: Maruhi Jigoma Sousa File        | Bandai                | Famicom Disk System | 1988 | NTSC (JP)
|       | Janken Disk Jou - Famimaga Disk Vol. 6                        | Tokuma Shoten         | Famicom Disk System | 1992 | NTSC (JP)
|       | Jikai Shounen Mettomag                                        | SquareSoft            | Famicom Disk System | 1987 | NTSC (JP)
|       | Kaettekita Mario Bros.                                        | Nintendo              | Famicom Disk System | 1988 | NTSC (JP)
|       | Kalin no Tsurugi                                              | SquareSoft            | Famicom Disk System | 1987 | NTSC (JP)
|       | Kamen Rider Black: Taiketsu Shadow Moon                       | Bandai                | Famicom Disk System | 1988 | NTSC (JP)
|       | Karate Champ                                                  | Data East             | Famicom Disk System | 1988 | NTSC (JP)
|       | Kattobi! Douji                                                | Pack-In-Video         | Famicom Disk System | 1989 | NTSC (JP)
|       | Kick and Run                                                  | Taito Corporation     | Famicom Disk System | 1988 | NTSC (JP)
|       | Kick Challenger: Air Foot - Yasai no Kuni no Ashi Senshi      | Vap                   | Famicom Disk System | 1987 | NTSC (JP)
|       | Kidou Keisatsu Patlabor: Dai 2 Shoutai Shutsudou Seyo!        | Bandai                | Famicom Disk System | 1989 | NTSC (JP)
|       | Kieta Princess                                                | Imagineer             | Famicom Disk System | 1986 | NTSC (JP)
|       | Kiki KaiKai: Dotou Hen                                        | Taito Corporation     | Famicom Disk System | 1987 | NTSC (JP)
|       | Kinnikuman: Kinnikusei Oui Soudatsusen                        | Bandai                | Famicom Disk System | 1987 | NTSC (JP)
|       | Knight Lore: Majou no Ookami Otoko                            | Jaleco Entertainment  | Famicom Disk System | 1986 | NTSC (JP)
|       | Knight Move                                                   | Nintendo              | Famicom Disk System | 1990 | NTSC (JP)
|       | Konamic Ice Hockey                                            | Konami                | Famicom Disk System | 1988 | NTSC (JP)
|       | Konamic Tennis                                                | Konami                | Famicom Disk System | 1988 | NTSC (JP)
