|       | Turbo Sub                                  | Atari                | Atari Lynx | 1991 | NTSC (NA)
|       | Viking Child                               | Atari                | Atari Lynx | 1991 | NTSC (NA)
|       | Warbirds                                   | Atari                | Atari Lynx | 1991 | NTSC (NA)
|       | World Class Soccer                         | Atari                | Atari Lynx | 1992 | NTSC (NA)
|       | Xenophobe                                  | Atari                | Atari Lynx | 1992 | NTSC (NA)
|       | Xybots                                     | Atari                | Atari Lynx | 1991 | NTSC (NA)
|       | Zaku                                       | Super Fighter Team   | Atari Lynx | 2009 | NTSC (NA)
|       | Zarlor Mercenary                           | Atari                | Atari Lynx | 1990 | NTSC (NA)
|       | A.P.B.       | Atari Corporation | Atari Lynx | 1991 | PAL
|       | Awesome Golf | Atari Corporation | Atari Lynx | 1991 | PAL
|       | T-Tris       | Bastian Schick    | Atari Lynx | 1996 | PAL
