|       | FIFA Soccer 96                                                 | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | FIFA Soccer 97                                                 | EA Sports                | Sega Saturn | 1997 | NTSC (NA)
|       | FIFA: Road to World Cup 98                                     | Electronic Arts          | Sega Saturn | 1997 | NTSC (NA)
|       | Fighters Megamix                                               | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Fighting Vipers                                                | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Frank Thomas Big Hurt Baseball                                 | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Galactic Attack                                                | Acclaim                  | Sega Saturn | 1995 | NTSC (NA)
|       | Galaxy Fight                                                   | SunSoft                  | Sega Saturn | 1996 | NTSC (NA)
|       | Gex                                                            | Crystal Dynamics         | Sega Saturn | 1996 | NTSC (NA)
|       | Ghen War                                                       | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Golden Axe: The Duel                                           | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Grand Slam                                                     | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | Grid Runner                                                    | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | Guardian Heroes                                                | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | GunGriffon                                                     | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Hang-On GP                                                     | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Heir of Zendor: The Legend and The Land                        | Koei                     | Sega Saturn | 1996 | NTSC (NA)
|       | Herc's Adventures                                              | LucasArts                | Sega Saturn | 1997 | NTSC (NA)
|       | Hexen: Beyond Heretic                                          | GT Interactive           | Sega Saturn | 1997 | NTSC (NA)
|       | Hi-Octane: The Track Fights Back!                              | Bullfrog Productions     | Sega Saturn | 1995 | NTSC (NA)
|       | High Velocity: Mountain Racing Challenge                       | ATLUS                    | Sega Saturn | 1996 | NTSC (NA)
|       | Highway 2000                                                   | Natsume                  | Sega Saturn | 1996 | NTSC (NA)
|       | Horde, The                                                     | Crystal Dynamics         | Sega Saturn | 1997 | NTSC (NA)
|       | House of the Dead, The                                         | Sega                     | Sega Saturn | 1998 | NTSC (NA)
|       | Hyper 3-D Pinball                                              | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | Impact Racing                                                  | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | In the Hunt                                                    | Kokopeli Digital Studios | Sega Saturn | 1996 | NTSC (NA)
|       | Incredible Hulk: The Pantheon Saga, The                        | Eidos Interactive        | Sega Saturn | 1997 | NTSC (NA)
|       | Independence Day                                               | Fox Interactive          | Sega Saturn | 1997 | NTSC (NA)
|       | Iron Man / X-O Manowar in Heavy Metal                          | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Iron Storm                                                     | Working Designs          | Sega Saturn | 1996 | NTSC (NA)
|       | Johnny Bazookatone                                             | U.S. Gold                | Sega Saturn | 1996 | NTSC (NA)
|       | Last Bronx                                                     | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Last Gladiators Digital Pinball                                | Time Warner Interactive  | Sega Saturn | 1996 | NTSC (NA)
|       | Legend of Oasis                                                | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Loaded                                                         | Interplay                | Sega Saturn | 1996 | NTSC (NA)
|       | Lost World: Jurassic Park, The                                 | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Lunacy                                                         | ATLUS                    | Sega Saturn | 1997 | NTSC (NA)
|       | Machine Head                                                   | Eidos Interactive        | Sega Saturn | 1996 | NTSC (NA)
|       | Madden NFL 97                                                  | EA Sports                | Sega Saturn | 1996 | NTSC (NA)
|       | Madden NFL 98                                                  | EA Sports                | Sega Saturn | 1997 | NTSC (NA)
|       | Magic Carpet                                                   | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | Magic Knight Rayearth                                          | Working Designs          | Sega Saturn | 1998 | NTSC (NA)
|       | Mansion of Hidden Souls, The                                   | Sega                     | Sega Saturn | 1994 | NTSC (NA)
|       | Manx TT Super Bike                                             | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Marvel Super Heroes                                            | Capcom                   | Sega Saturn | 1997 | NTSC (NA)
|       | Mass Destruction                                               | ASC Games                | Sega Saturn | 1997 | NTSC (NA)
|       | Maximum Force                                                  | Midway                   | Sega Saturn | 1997 | NTSC (NA)
|       | MechWarrior 2                                                  | Activision               | Sega Saturn | 1997 | NTSC (NA)
|       | Mega Man 8                                                     | Capcom                   | Sega Saturn | 1997 | NTSC (NA)
|       | Mega Man 8: Anniversary Collector's Edition                    | Capcom                   | Sega Saturn | 1997 | NTSC (NA)
|       | Mega Man X4                                                    | Capcom                   | Sega Saturn | 1997 | NTSC (NA)
|       | Midway Presents Arcade's Greatest Hits                         | Midway                   | Sega Saturn | 1996 | NTSC (NA)
|       | Midway Presents Arcade's Greatest Hits: The Atari Collection 1 | Midway                   | Sega Saturn | 1997 | NTSC (NA)
|       | Minnesota Fats: Pool Legend                                    | Data East USA            | Sega Saturn | 1995 | NTSC (NA)
|       | Mortal Kombat II                                               | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Mortal Kombat Trilogy                                          | Midway                   | Sega Saturn | 1997 | NTSC (NA)
|       | Mr. Bones                                                      | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Myst                                                           | Acclaim                  | Sega Saturn | 1995 | NTSC (NA)
|       | Mystaria                                                       | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | NASCAR 98                                                      | Electronic Arts          | Sega Saturn | 1997 | NTSC (NA)
|       | NBA Action                                                     | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | NBA Action 98                                                  | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | NBA Jam Extreme                                                | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | NBA Jam Tournament Edition                                     | Acclaim                  | Sega Saturn | 1995 | NTSC (NA)
|       | NBA Live 97                                                    | EA Sports                | Sega Saturn | 1997 | NTSC (NA)
|       | NBA Live 98                                                    | Electronic Arts          | Sega Saturn | 1997 | NTSC (NA)
|       | Net Link Custom Web Browser                                    | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Net Link Custom Web Browser Version 3.0                        | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Net Link Game Pack                                             | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | NFL '97                                                        | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | NFL Quarterback Club 96                                        | Acclaim                  | Sega Saturn | 1995 | NTSC (NA)
|       | NFL Quarterback Club 97                                        | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | NHL 97                                                         | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | NHL 98                                                         | EA Sports                | Sega Saturn | 1997 | NTSC (NA)
|       | NHL All-Star Hockey                                            | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | NHL All-Star Hockey 98                                         | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | NHL PowerPlay '96                                              | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | Night Warriors: Darkstalkers' Revenge                          | Capcom                   | Sega Saturn | 1996 | NTSC (NA)
|       | NiGHTS into Dreams...                                          | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | NiGHTS Into Dreams... Sampler                                  | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Norse by Norsewest: The Return of The Lost Vikings             | Interplay                | Sega Saturn | 1997 | NTSC (NA)
|       | Off-World Interceptor Extreme                                  | Crystal Dynamics         | Sega Saturn | 1995 | NTSC (NA)
|       | Olympic Soccer: Atlanta 1996                                   | U.S. Gold                | Sega Saturn | 1996 | NTSC (NA)
|       | P.T.O. II: Pacific Theater of Operations                       | Koei                     | Sega Saturn | 1996 | NTSC (NA)
|       | Pandemonium!                                                   | Crystal Dynamics         | Sega Saturn | 1997 | NTSC (NA)
|       | Panzer Dragoon                                                 | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Panzer Dragoon II Zwei                                         | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Panzer Dragoon Saga                                            | Sega                     | Sega Saturn | 1998 | NTSC (NA)
|       | Panzer Dragoon: Playable Preview                               | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Pebble Beach Golf Links                                        | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | PGA Tour 97                                                    | EA Sports                | Sega Saturn | 1996 | NTSC (NA)
|       | PowerSlave                                                     | Playmates                | Sega Saturn | 1996 | NTSC (NA)
|       | Primal Rage                                                    | Time Warner Interactive  | Sega Saturn | 1995 | NTSC (NA)
|       | Pro Pinball                                                    | Interplay                | Sega Saturn | 1996 | NTSC (NA)
|       | Quake                                                          | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Quarterback Attack with Mike Ditka                             | Digital Pictures         | Sega Saturn | 1995 | NTSC (NA)
|       | Rampage World Tour                                             | Midway                   | Sega Saturn | 1997 | NTSC (NA)
|       | Rayman                                                         | Ubisoft                  | Sega Saturn | 1995 | NTSC (NA)
|       | Resident Evil                                                  | Capcom                   | Sega Saturn | 1997 | NTSC (NA)
|       | Resurrection: Rise 2                                           | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Revolution X                                                   | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Road & Track Presents: The Need for Speed                      | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | Road Rash                                                      | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | Robo Pit                                                       | Kokopeli Digital Studios | Sega Saturn | 1996 | NTSC (NA)
|       | Robotica                                                       | Acclaim                  | Sega Saturn | 1995 | NTSC (NA)
|       | Romance of the Three Kingdoms IV: Wall of Fire                 | Koei                     | Sega Saturn | 1995 | NTSC (NA)
|       | Saturn Bomberman                                               | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Scorcher                                                       | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Scud: The Disposable Assassin                                  | SegaSoft                 | Sega Saturn | 1997 | NTSC (NA)
|       | Sega Ages                                                      | Working Designs          | Sega Saturn | 1997 | NTSC (NA)
|       | Sega Rally Championship                                        | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Sega Rally Championship Plus - NetLink Edition                 | Sega                     | Sega Saturn | 1998 | NTSC (NA)
|       | Sega Saturn Bootleg II: On The Road                            | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Sega Saturn Bootleg Sampler                                    | Sega                     | Sega Saturn | 1994 | NTSC (NA)
|       | Sega Saturn Choice Cuts                                        | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Sega Screams Volume 1                                          | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Sega Touring Car Championship                                  | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Sega Worldwide Soccer '97                                      | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Sega Worldwide Soccer '98                                      | Sega                     | Sega Saturn | 1998 | NTSC (NA)
|       | Shanghai: Triple-Threat                                        | Activision               | Sega Saturn | 1995 | NTSC (NA)
|       | Shellshock                                                     | U.S. Gold                | Sega Saturn | 1995 | NTSC (NA)
|       | Shining Force III                                              | Sega                     | Sega Saturn | 1998 | NTSC (NA)
