|       | Babysitting Mama                                                              | Majesco Games                          | Nintendo Wii | 2010 | North America
|       | Bachelor: The Videogame, The                                                  | Warner Bros. Interactive Entertainment | Nintendo Wii | 2010 | North America
|       | Back to the Future: The Game                                                  | Telltale Games                         | Nintendo Wii | 2011 | North America
|       | Backyard Baseball '09                                                         | Atari                                  | Nintendo Wii | 2008 | North America
|       | Backyard Baseball '10                                                         | Atari                                  | Nintendo Wii | 2009 | North America
|       | Backyard Football                                                             | Humongous Entertainment                | Nintendo Wii | 2007 | North America
|       | Backyard Football '09                                                         | Atari                                  | Nintendo Wii | 2008 | North America
|       | Backyard Football '10                                                         | Atari                                  | Nintendo Wii | 2009 | North America
|       | Backyard Sports: Rookie Rush                                                  | Atari                                  | Nintendo Wii | 2010 | North America
|       | Backyard Sports: Sandlot Sluggers                                             | Atari                                  | Nintendo Wii | 2010 | North America
|       | Bakugan Battle Brawlers                                                       | Activision                             | Nintendo Wii | 2009 | North America
|       | Bakugan: Defenders of the Core                                                | Activision                             | Nintendo Wii | 2010 | North America
|       | Balloon Pop                                                                   | UFO Interactive                        | Nintendo Wii | 2007 | North America
|       | Balls of Fury                                                                 | DSI Games                              | Nintendo Wii | 2007 | North America
|       | Band Hero                                                                     | Activision                             | Nintendo Wii | 2009 | North America
|       | Barbie and Her Sisters: Puppy Rescue                                          | Little Orbit                           | Nintendo Wii | 2015 | North America
|       | Barbie and the Three Musketeers                                               | Activision                             | Nintendo Wii | 2009 | North America
|       | Barbie as The Island Princess                                                 | Activision                             | Nintendo Wii | 2007 | North America
|       | Barbie Dreamhouse Party                                                       | Little Orbit                           | Nintendo Wii | 2013 | North America
|       | Barbie Horse Adventures: Riding Camp                                          | Activision                             | Nintendo Wii | 2008 | North America
|       | Barbie: Groom and Glam Pups                                                   | THQ                                    | Nintendo Wii | 2010 | North America
|       | Barbie: Jet, Set & Style!                                                     | THQ                                    | Nintendo Wii | 2011 | North America
|       | Barnyard                                                                      | THQ                                    | Nintendo Wii | 2006 | North America
|       | Baroque                                                                       | ATLUS                                  | Nintendo Wii | 2008 | North America
|       | Baseball Blast!                                                               | 2K Sports                              | Nintendo Wii | 2009 | North America
|       | Bass Pro Shops: The Hunt                                                      | Griffin International                  | Nintendo Wii | 2010 | North America
|       | Bass Pro Shops: The Hunt - Trophy Showdown                                    | XS Games                               | Nintendo Wii | 2011 | North America
|       | Bass Pro Shops: The Strike                                                    | XS Games                               | Nintendo Wii | 2009 | North America
|       | Bass Pro Shops: The Strike - Tournament Edition                               | XS Games                               | Nintendo Wii | 2011 | North America
|       | Batman: The Brave and the Bold - The Videogame                                | Warner Bros. Interactive Entertainment | Nintendo Wii | 2010 | North America
|       | Battalion Wars 2                                                              | Nintendo                               | Nintendo Wii | 2007 | North America
|       | Battle of Giants: Dinosaurs Strike                                            | Ubisoft                                | Nintendo Wii | 2010 | North America
|       | Battle of the Bands                                                           | THQ                                    | Nintendo Wii | 2008 | North America
|       | Battle Rage: Mech Conflict                                                    | Destineer                              | Nintendo Wii | 2009 | North America
|       | Battleship                                                                    | Activision                             | Nintendo Wii | 2012 | North America
|       | Beach Fun Summer Challenge                                                    | Zoo Games                              | Nintendo Wii | 2010 | North America
|       | Beastly                                                                       | Storm City Games                       | Nintendo Wii | 2011 | North America
|       | Beatles: Rock Band, The                                                       | MTV Games                              | Nintendo Wii | 2009 | North America
|       | Bee Movie Game                                                                | Activision                             | Nintendo Wii | 2007 | North America
|       | Ben 10 Alien Force: Vilgax Attacks                                            | D3Publisher                            | Nintendo Wii | 2009 | North America
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                     | D3Publisher                            | Nintendo Wii | 2010 | North America
|       | Ben 10: Alien Force                                                           | D3Publisher                            | Nintendo Wii | 2008 | North America
|       | Ben 10: Galactic Racing                                                       | D3Publisher                            | Nintendo Wii | 2011 | North America
|       | Ben 10: Omniverse                                                             | D3Publisher                            | Nintendo Wii | 2012 | North America
|       | Ben 10: Omniverse 2                                                           | D3Publisher                            | Nintendo Wii | 2013 | North America
|       | Ben 10: Protector of Earth                                                    | D3Publisher                            | Nintendo Wii | 2007 | North America
|       | Bermuda Triangle: Saving the Coral                                            | Storm City Games                       | Nintendo Wii | 2009 | North America
|       | Beyblade: Metal Fusion - Battle Fortress                                      | Hudson Entertainment                   | Nintendo Wii | 2010 | North America
|       | Big Beach Sports                                                              | THQ                                    | Nintendo Wii | 2008 | North America
|       | Big Beach Sports 2                                                            | THQ                                    | Nintendo Wii | 2010 | North America
|       | Big Brain Academy: Wii Degree                                                 | Nintendo                               | Nintendo Wii | 2007 | North America
|       | Big Buck Hunter Pro                                                           | Crave                                  | Nintendo Wii | 2010 | North America
|       | Big League Sports                                                             | Activision                             | Nintendo Wii | 2008 | North America
|       | Big League Sports: Summer                                                     | Activision                             | Nintendo Wii | 2009 | North America
|       | Big Time Rush: Dance Party                                                    | GameMill Publishing                    | Nintendo Wii | 2012 | North America
|       | Big Town Shoot Out                                                            | Performance Designed Products          | Nintendo Wii | 2011 | North America
|       | Bigfoot: Collision Course                                                     | Zoo Digital Publishing                 | Nintendo Wii | 2008 | North America
|       | Bigfoot: King of Crush                                                        | Zoo Games                              | Nintendo Wii | 2011 | North America
|       | Biggest Loser Challenge, The                                                  | THQ                                    | Nintendo Wii | 2010 | North America
|       | Biggest Loser, The                                                            | THQ                                    | Nintendo Wii | 2009 | North America
|       | Bigs 2, The                                                                   | 2K Sports                              | Nintendo Wii | 2009 | North America
|       | Bigs, The                                                                     | 2K Sports                              | Nintendo Wii | 2007 | North America
|       | Billy the Wizard: Rocket Broomstick Racing                                    | Conspiracy Entertainment               | Nintendo Wii | 2007 | North America
|       | Bionicle Heroes                                                               | Eidos Interactive                      | Nintendo Wii | 2007 | North America
|       | Birthday Party Bash                                                           | Take-Two Interactive                   | Nintendo Wii | 2009 | North America
|       | Bit.Trip Complete                                                             | Aksys Games                            | Nintendo Wii | 2011 | North America
|       | Black Eyed Peas Experience, The                                               | Ubisoft                                | Nintendo Wii | 2011 | North America
|       | Blast Works: Build, Trade, Destroy                                            | Majesco Games                          | Nintendo Wii | 2008 | North America
|       | Blazing Angels: Squadrons of WWII                                             | Ubisoft                                | Nintendo Wii | 2007 | North America
|       | Bleach: Shattered Blade                                                       | Sega                                   | Nintendo Wii | 2007 | North America
