|       | Awakened Fate: Ultimatum, The                                            | NIS America                            | PlayStation 3 | 2015 | North America
|       | Back to the Future: The Game                                             | Telltale Games                         | PlayStation 3 | 2011 | North America
|       | Backbreaker                                                              | 505 Games                              | PlayStation 3 | 2010 | North America
|       | Baja: Edge of Control                                                    | THQ                                    | PlayStation 3 | 2008 | North America
|       | Bakugan Battle Brawlers                                                  | Activision                             | PlayStation 3 | 2009 | North America
|       | Bakugan: Defenders of the Core                                           | Activision                             | PlayStation 3 | 2010 | North America
|       | Band Hero                                                                | Activision                             | PlayStation 3 | 2009 | North America
|       | Bandfuse: Rock Legends                                                   | Mastiff                                | PlayStation 3 | 2013 | North America
|       | Barbie and Her Sisters: Puppy Rescue                                     | Little Orbit                           | PlayStation 3 | 2015 | North America
|       | Batman: Arkham Asylum                                                    | Eidos Interactive                      | PlayStation 3 | 2009 | North America
|       | Batman: Arkham City                                                      | Warner Bros. Interactive Entertainment | PlayStation 3 | 2011 | North America
|       | Batman: Arkham City - Game of the Year Edition                           | Warner Bros. Interactive Entertainment | PlayStation 3 | 2012 | North America
|       | Batman: Arkham Dual Pack                                                 | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | North America
|       | Batman: Arkham Origins                                                   | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | North America
|       | Batman: Arkham Twin Pack                                                 | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | North America
|       | Batman: The Telltale Series                                              | Warner Bros. Interactive Entertainment | PlayStation 3 | 2016 | North America
|       | Battlefield 3                                                            | Electronic Arts                        | PlayStation 3 | 2011 | North America
|       | Battlefield 3: Premium Edition                                           | Electronic Arts                        | PlayStation 3 | 2012 | North America
|       | Battlefield 4                                                            | Electronic Arts                        | PlayStation 3 | 2013 | North America
|       | Battlefield Hardline                                                     | Electronic Arts                        | PlayStation 3 | 2015 | North America
|       | Battlefield: Bad Company                                                 | EA Games                               | PlayStation 3 | 2008 | North America
|       | Battlefield: Bad Company 2                                               | EA Games                               | PlayStation 3 | 2010 | North America
|       | Battlefield: Bad Company 2 Ultimate Edition                              | Electronic Arts                        | PlayStation 3 | 2010 | North America
|       | Battleship                                                               | Activision                             | PlayStation 3 | 2012 | North America
|       | Bayonetta                                                                | Sega                                   | PlayStation 3 | 2010 | North America
|       | Beatles: Rock Band, The                                                  | MTV Games                              | PlayStation 3 | 2009 | North America
|       | Beijing 2008 - The Official Video Game of the Olympic Games              | Sega                                   | PlayStation 3 | 2008 | North America
|       | Beijing 2008 - The Official Video Game of the Olympic Games              | Sega                                   | PlayStation 3 | 2008 | North America
|       | Bejeweled 3                                                              | PopCap                                 | PlayStation 3 | 2011 | North America
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                | D3Publisher                            | PlayStation 3 | 2010 | North America
|       | Ben 10: Galactic Racing                                                  | D3Publisher                            | PlayStation 3 | 2011 | North America
|       | Ben 10: Omniverse                                                        | D3Publisher                            | PlayStation 3 | 2012 | North America
|       | Ben 10: Omniverse 2                                                      | D3Publisher                            | PlayStation 3 | 2013 | North America
|       | Beowulf: The Game                                                        | Ubisoft                                | PlayStation 3 | 2007 | North America
|       | Best of PlayStation Network Vol. 1                                       | SCEA                                   | PlayStation 3 | 2013 | North America
|       | Beyond: Two Souls                                                        | SCEA                                   | PlayStation 3 | 2013 | North America
|       | Bigs 2, The                                                              | 2K Sports                              | PlayStation 3 | 2009 | North America
|       | Bigs, The                                                                | 2K Sports                              | PlayStation 3 | 2007 | North America
|       | Binary Domain                                                            | Sega                                   | PlayStation 3 | 2012 | North America
|       | Bionic Commando                                                          | Capcom                                 | PlayStation 3 | 2009 | North America
|       | BioShock                                                                 | 2K Games                               | PlayStation 3 | 2008 | North America
|       | BioShock 2                                                               | 2K Games                               | PlayStation 3 | 2010 | North America
|       | BioShock Infinite                                                        | 2K Games                               | PlayStation 3 | 2013 | North America
|       | BioShock Infinite: Complete Edition                                      | 2K Games                               | PlayStation 3 | 2014 | North America
|       | BioShock Ultimate Rapture Edition                                        | 2K Games                               | PlayStation 3 | 2013 | North America
|       | Birds of Steel                                                           | Konami                                 | PlayStation 3 | 2012 | North America
|       | BlackSite: Area 51                                                       | Midway                                 | PlayStation 3 | 2007 | North America
|       | Blades of Time                                                           | Konami                                 | PlayStation 3 | 2012 | North America
|       | Bladestorm: The Hundred Years' War                                       | Koei                                   | PlayStation 3 | 2007 | North America
|       | BlazBlue: Calamity Trigger                                               | Aksys Games                            | PlayStation 3 | 2009 | North America
|       | BlazBlue: Central Fiction                                                | Aksys Games                            | PlayStation 3 | 2016 | North America
|       | BlazBlue: Chrono Phantasma                                               | Aksys Games                            | PlayStation 3 | 2014 | North America
|       | BlazBlue: Chrono Phantasma Extend                                        | Aksys Games                            | PlayStation 3 | 2015 | North America
|       | BlazBlue: Continuum Shift                                                | Aksys Games                            | PlayStation 3 | 2010 | North America
|       | BlazBlue: Continuum Shift Extend                                         | Aksys Games                            | PlayStation 3 | 2012 | North America
|       | Blazing Angels 2: Secret Missions of WWII                                | Ubisoft                                | PlayStation 3 | 2007 | North America
|       | Blazing Angels: Squadrons of WWII                                        | Ubisoft                                | PlayStation 3 | 2006 | North America
|       | Bleach: Soul Resurreccion                                                | NIS America                            | PlayStation 3 | 2011 | North America
|       | Blitz: The League II                                                     | Midway                                 | PlayStation 3 | 2008 | North America
|       | Blood Drive                                                              | Activision                             | PlayStation 3 | 2010 | North America
|       | Blur                                                                     | Activision Blizzard                    | PlayStation 3 | 2010 | North America
|       | Bodycount                                                                | Codemasters                            | PlayStation 3 | 2011 | North America
|       | Bolt                                                                     | Disney Interactive Studios             | PlayStation 3 | 2008 | North America
|       | Borderlands                                                              | 2K Games                               | PlayStation 3 | 2009 | North America
|       | Borderlands 2                                                            | 2K Games                               | PlayStation 3 | 2012 | North America
|       | Borderlands 2 / Dishonored                                               | 2K Games                               | PlayStation 3 | 2014 | North America
|       | Borderlands 2: Add-On Content Pack                                       | 2K Games                               | PlayStation 3 | 2013 | North America
|       | Borderlands 2: Game of the Year Edition                                  | 2K Games                               | PlayStation 3 | 2013 | North America
|       | Borderlands Triple Pack                                                  | 2K Games                               | PlayStation 3 | 2015 | North America
|       | Borderlands: Game of the Year Edition                                    | Take-Two Interactive                   | PlayStation 3 | 2010 | North America
|       | Borderlands: The Pre-Sequel!                                             | 2K Games                               | PlayStation 3 | 2014 | North America
|       | Bound by Flame                                                           | Focus Home Interactive                 | PlayStation 3 | 2014 | North America
|       | Brain Challenge Deluxe                                                   | Ubisoft                                | PlayStation 3 | 2009 | North America
|       | Brave: The Video Game                                                    | Disney Interactive Studios             | PlayStation 3 | 2012 | North America
|       | Brink                                                                    | Bethesda Softworks                     | PlayStation 3 | 2011 | North America
|       | Brothers In Arms: Hell's Highway                                         | Ubisoft                                | PlayStation 3 | 2008 | North America
|       | Brunswick Pro Bowling                                                    | Crave                                  | PlayStation 3 | 2010 | North America
|       | Brutal Legend                                                            | EA Games                               | PlayStation 3 | 2009 | North America
|       | Bulletstorm                                                              | Electronic Arts                        | PlayStation 3 | 2011 | North America
|       | Bureau: XCOM Declassified, The                                           | 2K Games                               | PlayStation 3 | 2013 | North America
|       | Burnout Paradise                                                         | Electronic Arts                        | PlayStation 3 | 2008 | North America
|       | Buzz! Quiz TV                                                            | SCEA                                   | PlayStation 3 | 2008 | North America
|       | Buzz! Quiz World                                                         | SCEA                                   | PlayStation 3 | 2009 | North America
|       | Cabela's Adventure Camp                                                  | Activision                             | PlayStation 3 | 2011 | North America
|       | Cabela's African Adventures                                              | Activision                             | PlayStation 3 | 2013 | North America
|       | Cabela's Big Game Hunter 2010                                            | Activision                             | PlayStation 3 | 2009 | North America
|       | Cabela's Big Game Hunter 2012                                            | Activision                             | PlayStation 3 | 2011 | North America
|       | Cabela's Big Game Hunter: Pro Hunts                                      | Activision                             | PlayStation 3 | 2014 | North America
|       | Cabela's Dangerous Hunts 2009                                            | Activision                             | PlayStation 3 | 2008 | North America
|       | Cabela's Dangerous Hunts 2011                                            | Activision                             | PlayStation 3 | 2010 | North America
|       | Cabela's Dangerous Hunts 2013                                            | Activision                             | PlayStation 3 | 2012 | North America
|       | Cabela's Hunting Expeditions                                             | Activision                             | PlayStation 3 | 2012 | North America
|       | Cabela's North American Adventures                                       | Activision                             | PlayStation 3 | 2010 | North America
|       | Cabela's Outdoor Adventures                                              | Activision                             | PlayStation 3 | 2009 | North America
|       | Cabela's Survival: Shadows of Katmai                                     | Activision                             | PlayStation 3 | 2011 | North America
|       | Call of Duty 3                                                           | Activision                             | PlayStation 3 | 2006 | North America
|       | Call of Duty 4: Modern Warfare                                           | Activision                             | PlayStation 3 | 2007 | North America
|       | Call of Duty: Advanced Warfare                                           | Activision                             | PlayStation 3 | 2014 | North America
|       | Call of Duty: Black Ops                                                  | Activision                             | PlayStation 3 | 2010 | North America
|       | Call of Duty: Black Ops Collection                                       | Activision                             | PlayStation 3 | 2016 | North America
|       | Call of Duty: Black Ops Combo Pack                                       | Activision                             | PlayStation 3 | 2015 | North America
