|       | Atari Anniversary Advance                                                                                                                                                              | Infogrames                             | Game Boy Advance | 2002 | NTSC (NA)
|       | Atomic Betty                                                                                                                                                                           | Namco                                  | Game Boy Advance | 2005 | NTSC (NA)
|       | ATV: Quad Power Racing                                                                                                                                                                 | Acclaim                                | Game Boy Advance | 2002 | NTSC (NA)
|       | ATV: Thunder Ridge Riders                                                                                                                                                              | DSI Games                              | Game Boy Advance | 2006 | NTSC (NA)
|       | Avatar: The Last Airbender                                                                                                                                                             | THQ                                    | Game Boy Advance | 2006 | NTSC (NA)
|       | Avatar: The Last Airbender - The Burning Earth                                                                                                                                         | THQ                                    | Game Boy Advance | 2007 | NTSC (NA)
|       | Babar to the Rescue                                                                                                                                                                    | The Game Factory                       | Game Boy Advance | 2006 | NTSC (NA)
|       | Back to Stone                                                                                                                                                                          | O3 Entertainment                       | Game Boy Advance | 2006 | NTSC (NA)
|       | BackTrack                                                                                                                                                                              | Telegames, Inc.                        | Game Boy Advance | 2001 | NTSC (NA)
|       | Backyard Baseball                                                                                                                                                                      | Infogrames                             | Game Boy Advance | 2002 | NTSC (NA)
|       | Backyard Baseball 2006                                                                                                                                                                 | Atari                                  | Game Boy Advance | 2005 | NTSC (NA)
|       | Backyard Basketball                                                                                                                                                                    | Atari                                  | Game Boy Advance | 2004 | NTSC (NA)
|       | Backyard Football                                                                                                                                                                      | Infogrames                             | Game Boy Advance | 2002 | NTSC (NA)
|       | Backyard Football 2006                                                                                                                                                                 | Atari                                  | Game Boy Advance | 2005 | NTSC (NA)
|       | Backyard Hockey                                                                                                                                                                        | Atari                                  | Game Boy Advance | 2003 | NTSC (NA)
|       | Backyard Skateboarding                                                                                                                                                                 | Atari                                  | Game Boy Advance | 2004 | NTSC (NA)
|       | Backyard Sports Baseball 2007                                                                                                                                                          | Atari                                  | Game Boy Advance | 2006 | NTSC (NA)
|       | Backyard Sports Basketball 2007                                                                                                                                                        | Atari                                  | Game Boy Advance | 2006 | NTSC (NA)
|       | Backyard Sports Football 2007                                                                                                                                                          | Atari                                  | Game Boy Advance | 2006 | NTSC (NA)
|       | Baldur's Gate: Dark Alliance                                                                                                                                                           | Destination Software                   | Game Boy Advance | 2004 | NTSC (NA)
|       | Ballistic: Ecks vs. Sever                                                                                                                                                              | Bam Entertainment                      | Game Boy Advance | 2002 | NTSC (NA)
|       | Banjo-Kazooie: Grunty's Revenge                                                                                                                                                        | THQ                                    | Game Boy Advance | 2003 | NTSC (NA)
|       | Banjo-Pilot                                                                                                                                                                            | THQ                                    | Game Boy Advance | 2005 | NTSC (NA)
|       | Barbie and the Magic of Pegasus                                                                                                                                                        | VU Games                               | Game Boy Advance | 2005 | NTSC (NA)
|       | Barbie as The Island Princess                                                                                                                                                          | Activision Value                       | Game Boy Advance | 2007 | NTSC (NA)
|       | Barbie as the Princess and the Pauper                                                                                                                                                  | VU Games                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Barbie Diaries: High School Mystery, The                                                                                                                                               | Activision                             | Game Boy Advance | 2006 | NTSC (NA)
|       | Barbie Horse Adventures: Blue Ribbon Race                                                                                                                                              | VU Games                               | Game Boy Advance | 2003 | NTSC (NA)
|       | Barbie in The 12 Dancing Princesses                                                                                                                                                    | Activision                             | Game Boy Advance | 2006 | NTSC (NA)
|       | Barbie Software: Groovy Games                                                                                                                                                          | VU Games                               | Game Boy Advance | 2002 | NTSC (NA)
|       | Barbie Superpack: Secret Agent / Groovy Games                                                                                                                                          | VU Games                               | Game Boy Advance | 2005 | NTSC (NA)
|       | Baseball Advance                                                                                                                                                                       | THQ                                    | Game Boy Advance | 2002 | NTSC (NA)
|       | Batman Begins                                                                                                                                                                          | EA Games                               | Game Boy Advance | 2005 | NTSC (NA)
|       | Batman: Rise of Sin Tzu                                                                                                                                                                | Ubisoft                                | Game Boy Advance | 2003 | NTSC (NA)
|       | Batman: Vengeance                                                                                                                                                                      | Ubisoft                                | Game Boy Advance | 2001 | NTSC (NA)
|       | Battle B-Daman                                                                                                                                                                         | ATLUS                                  | Game Boy Advance | 2006 | NTSC (NA)
|       | Battle B-Daman: Fire Spirits!                                                                                                                                                          | ATLUS                                  | Game Boy Advance | 2006 | NTSC (NA)
|       | Battlebots: Beyond the Battlebox                                                                                                                                                       | Majesco Games                          | Game Boy Advance | 2002 | NTSC (NA)
|       | Battlebots: Design & Destroy                                                                                                                                                           | Majesco Games                          | Game Boy Advance | 2003 | NTSC (NA)
|       | Bee Game, The                                                                                                                                                                          | Midway                                 | Game Boy Advance | 2007 | NTSC (NA)
|       | Berenstain Bears and the Spooky Old Tree, The                                                                                                                                          | Namco                                  | Game Boy Advance | 2005 | NTSC (NA)
|       | Beyblade G-Revolution                                                                                                                                                                  | Atari                                  | Game Boy Advance | 2004 | NTSC (NA)
|       | Beyblade VForce: Ultimate Blader Jam                                                                                                                                                   | Atari                                  | Game Boy Advance | 2003 | NTSC (NA)
|       | Bible Game, The                                                                                                                                                                        | Crave                                  | Game Boy Advance | 2005 | NTSC (NA)
|       | Big Mutha Truckers                                                                                                                                                                     | Destination Games                      | Game Boy Advance | 2005 | NTSC (NA)
|       | Bionicle                                                                                                                                                                               | THQ                                    | Game Boy Advance | 2003 | NTSC (NA)
|       | Bionicle Heroes                                                                                                                                                                        | Eidos Interactive                      | Game Boy Advance | 2006 | NTSC (NA)
|       | Bionicle: Matoran Adventures                                                                                                                                                           | Electronic Arts                        | Game Boy Advance | 2002 | NTSC (NA)
|       | Bionicle: Maze of Shadows                                                                                                                                                              | THQ                                    | Game Boy Advance | 2005 | NTSC (NA)
|       | Blackthorne                                                                                                                                                                            | Blizzard Classic Arcade                | Game Boy Advance | 2003 | NTSC (NA)
|       | Blades of Thunder                                                                                                                                                                      | Summitsoft Entertainment               | Game Boy Advance | 2005 | NTSC (NA)
|       | Blender Bros.                                                                                                                                                                          | Infogrames                             | Game Boy Advance | 2002 | NTSC (NA)
|       | BMX Trick Racer                                                                                                                                                                        | Simon & Schuster                       | Game Boy Advance | 2003 | NTSC (NA)
