|       | Baseball Stars                                              | SNK                            | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Baseball Stars II                                           | Romstar                        | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Bases Loaded                                                | Jaleco Entertainment           | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Bases Loaded 3                                              | Jaleco Entertainment           | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Bases Loaded 4                                              | Jaleco Entertainment           | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Bases Loaded II: Second Season                              | Jaleco Entertainment           | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Batman                                                      | SunSoft                        | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Batman Returns                                              | Konami                         | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Batman: Return of the Joker                                 | SunSoft                        | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Battle Chess                                                | Data East                      | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Battle Kid 2: Mountain of Torment                           | RetroZone                      | Nintendo Entertainment System | 2012 | NTSC (NA)
|       | Battle Kid: Fortress of Peril                               | RetroZone                      | Nintendo Entertainment System | 2010 | NTSC (NA)
|       | Battle Tank                                                 | Absolute Entertainment         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Battleship                                                  | Mindscape Inc.                 | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Battletoads                                                 | Tradewest                      | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Battletoads & Double Dragon                                 | Tradewest                      | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Bee 52                                                      | Camerica                       | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Beetlejuice                                                 | LJN Ltd.                       | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Best of the Best: Championship Karate                       | Electro Brain                  | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Bible Adventures                                            | Wisdom Tree                    | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Bible Buffet                                                | Wisdom Tree                    | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Big Nose Freaks Out                                         | Camerica                       | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Big Nose the Caveman                                        | Camerica                       | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Bigfoot                                                     | Acclaim                        | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Bill & Ted's Excellent Video Game Adventure                 | LJN Ltd.                       | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Bill Elliott's NASCAR Challenge                             | Konami                         | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Bionic Commando                                             | Capcom                         | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Blackjack                                                   | American Video Entertainment   | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Blades of Steel                                             | Konami                         | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Blaster Master                                              | SunSoft                        | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Blue Marlin, The                                            | Hot-B                          | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Blues Brothers, The                                         | Titus Software                 | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Bo Jackson Baseball                                         | Data East USA                  | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Bomberman                                                   | Hudson                         | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Bomberman II                                                | Hudson                         | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Bonk's Adventure                                            | Hudson                         | Nintendo Entertainment System | 1994 | NTSC (NA)
|       | Boulder Dash                                                | JVC Digital Studios            | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Bram Stoker's Dracula                                       | Sony Imagesoft                 | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Break Time: The National Pool Tour                          | FCI, Inc.                      | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | BreakThru                                                   | Data East                      | Nintendo Entertainment System | 1987 | NTSC (NA)
|       | Bubble Bath Babes                                           | Panesian                       | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Bubble Bobble                                               | Taito Corporation              | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Bubble Bobble Part 2                                        | Taito Corporation              | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Bucky O'Hare                                                | Konami                         | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Bugs Bunny Birthday Blowout, The                            | Kemco                          | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Bugs Bunny Crazy Castle, The                                | Kemco                          | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Bump 'n' Jump                                               | Vic Tokai                      | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Burai Fighter                                               | Taxan                          | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | BurgerTime                                                  | Data East                      | Nintendo Entertainment System | 1987 | NTSC (NA)
|       | Cabal                                                       | Milton Bradley                 | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Caesars Palace                                              | Virgin Games                   | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | California Games                                            | Milton Bradley                 | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Capcom's Gold Medal Challenge '92                           | Capcom                         | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Captain America and the Avengers                            | Data East                      | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Captain Comic: The Adventure                                | Color Dreams                   | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Captain Planet and the Planeteers                           | Mindscape Inc.                 | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Captain Skyhawk                                             | Milton Bradley                 | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Casino Kid                                                  | Sofel                          | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Casino Kid II                                               | Sofel                          | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Castelian                                                   | Triffix                        | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Castle of Deceit                                            | Bunch Games, Inc.              | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Castle of Dragon                                            | Seta Corporation               | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Castlequest                                                 | Nexoft                         | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Castlevania                                                 | Konami                         | Nintendo Entertainment System | 1987 | NTSC (NA)
|       | Castlevania II: Simon's Quest                               | Konami                         | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Castlevania III: Dracula's Curse                            | Konami                         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Caveman Games                                               | Data East                      | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Challenge of the Dragon                                     | Color Dreams                   | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Championship Bowling                                        | Romstar                        | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Championship Pool                                           | Mindscape Inc.                 | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Cheetahmen II                                               | Active Enterprises             | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Chessmaster, The                                            | Software Toolworks             | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Chiller                                                     | American Game Cartridges, Inc. | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Chubby Cherub                                               | Bandai                         | Nintendo Entertainment System | 1986 | NTSC (NA)
|       | Circus Caper                                                | Toho                           | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | City Connection                                             | Jaleco Entertainment           | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Clash at Demonhead                                          | Vic Tokai                      | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Classic Concentration                                       | GameTek                        | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Cliffhanger                                                 | Sony Imagesoft                 | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Clu Clu Land                                                | Nintendo                       | Nintendo Entertainment System | 1985 | NTSC (NA)
|       | Cobra Command                                               | Data East                      | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Cobra Triangle                                              | Nintendo                       | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Code Name: Viper                                            | Capcom                         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Color a Dinosaur                                            | Virgin Interactive             | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Commando                                                    | Capcom                         | Nintendo Entertainment System | 1986 | NTSC (NA)
|       | Conan                                                       | Mindscape Inc.                 | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Conflict                                                    | Vic Tokai                      | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Conquest of the Crystal Palace                              | Asmik Corporation of America   | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Contra                                                      | Konami                         | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Contra Force                                                | Konami                         | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Cool World                                                  | Ocean                          | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Cowboy Kid                                                  | Romstar                        | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Crash 'n the Boys: Street Challenge                         | Technos                        | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Crystal Mines                                               | Color Dreams                   | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Crystalis                                                   | SNK                            | Nintendo Entertainment System | 1990 | NTSC (NA)
