|       | Cooking Mama 4: Kitchen Magic                                             | Majesco Games                          | Nintendo 3DS | 2011 | NTSC (NA)
|       | Cooking Mama 5: Bon Appetit!                                              | Majesco Games                          | Nintendo 3DS | 2014 | NTSC (NA)
|       | Cooking Mama: Sweet Shop                                                  | Rising Star Games                      | Nintendo 3DS | 2017 | NTSC (NA)
|       | Corpse Party                                                              | Xseed Games                            | Nintendo 3DS | 2016 | NTSC (NA)
|       | Crash City Mayhem                                                         | Majesco Games                          | Nintendo 3DS | 2013 | NTSC (NA)
|       | Croods: Prehistoric Party!, The                                           | D3Publisher                            | Nintendo 3DS | 2013 | NTSC (NA)
|       | Crosswords Plus                                                           | Nintendo                               | Nintendo 3DS | 2012 | NTSC (NA)
|       | CRUSH3D                                                                   | Sega                                   | Nintendo 3DS | 2012 | NTSC (NA)
|       | Cubic Ninja                                                               | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Culdcept Revolt                                                           | NIS America                            | Nintendo 3DS | 2017 | NTSC (NA)
|       | Cut the Rope: Triple Treat                                                | Activision                             | Nintendo 3DS | 2014 | NTSC (NA)
|       | Dead or Alive: Dimensions                                                 | Koei                                   | Nintendo 3DS | 2011 | NTSC (NA)
|       | Deca Sports Extreme                                                       | Konami                                 | Nintendo 3DS | 2011 | NTSC (NA)
|       | Deer Drive Legends                                                        | Maximum Family Games                   | Nintendo 3DS | 2012 | NTSC (NA)
|       | Disney 2-Pack - Frozen: Olaf's Quest + Big Hero 6: Battle in the Bay      | GameMill Entertainment                 | Nintendo 3DS | 2016 | NTSC (NA)
|       | Disney Art Academy                                                        | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Disney Big Hero 6: Battle in the Bay                                      | GameMill Entertainment                 | Nintendo 3DS | 2014 | NTSC (NA)
|       | Disney Epic Mickey: The Power of Illusion                                 | Disney Interactive Studios             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Disney Frozen: Olaf's Quest                                               | GameMill Entertainment                 | Nintendo 3DS | 2013 | NTSC (NA)
|       | Disney Infinity: Toy Box Challenge                                        | Disney Interactive Studios             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Disney Infinity: Toy Box Challenge                                        | Disney Interactive Studios             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Disney Magical World                                                      | Nintendo                               | Nintendo 3DS | 2014 | NTSC (NA)
|       | Disney Magical World 2                                                    | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Disney Planes                                                             | Disney Interactive Studios             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Disney Planes: Fire & Rescue                                              | Little Orbit                           | Nintendo 3DS | 2014 | NTSC (NA)
|       | Disney Princess: My Fairytale Adventure                                   | Disney Interactive Studios             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Disney Violetta Rhythm & Music                                            | Little Orbit                           | Nintendo 3DS | 2014 | NTSC (NA)
|       | Disney/Pixar Cars 2                                                       | Disney Interactive Studios             | Nintendo 3DS | 2011 | NTSC (NA)
|       | Doctor Lautrec and the Forgotten Knights                                  | Konami                                 | Nintendo 3DS | 2011 | NTSC (NA)
|       | Donkey Kong Country Returns 3D                                            | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Doodle Jump Adventures                                                    | GameMill Publishing                    | Nintendo 3DS | 2013 | NTSC (NA)
|       | Dragon Ball Z: Extreme Butoden                                            | Bandai Namco Games                     | Nintendo 3DS | 2015 | NTSC (NA)
|       | Dragon Ball: Fusions                                                      | Bandai Namco Games                     | Nintendo 3DS | 2016 | NTSC (NA)
|       | Dragon Quest VII: Fragments of the Forgotten Past                         | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Dragon Quest VIII: Journey of the Cursed King                             | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | Dream Trigger 3D                                                          | D3Publisher                            | Nintendo 3DS | 2011 | NTSC (NA)
|       | DreamWorks Super Star Kartz                                               | Activision                             | Nintendo 3DS | 2011 | NTSC (NA)
|       | Driver: Renegade                                                          | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | DualPenSports                                                             | Namco Bandai Games                     | Nintendo 3DS | 2011 | NTSC (NA)
|       | Duck Dynasty                                                              | Activision                             | Nintendo 3DS | 2014 | NTSC (NA)
|       | Etrian Mystery Dungeon                                                    | ATLUS                                  | Nintendo 3DS | 2015 | NTSC (NA)
|       | Etrian Odyssey 2 Untold: The Fafnir Knight                                | ATLUS                                  | Nintendo 3DS | 2015 | NTSC (NA)
|       | Etrian Odyssey IV: Legends of the Titan                                   | ATLUS                                  | Nintendo 3DS | 2013 | NTSC (NA)
|       | Etrian Odyssey Untold: The Millennium Girl                                | ATLUS                                  | Nintendo 3DS | 2013 | NTSC (NA)
|       | Etrian Odyssey V: Beyond the Myth                                         | ATLUS                                  | Nintendo 3DS | 2017 | NTSC (NA)
|       | Etrian Odyssey V: Beyond the Myth                                         | ATLUS                                  | Nintendo 3DS | 2017 | NTSC (NA)
|       | Ever Oasis                                                                | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | F1 2011                                                                   | Codemasters                            | Nintendo 3DS | 2011 | NTSC (NA)
|       | Face Racers: Photo Finish                                                 | Majesco Games                          | Nintendo 3DS | 2011 | NTSC (NA)
|       | Fantasy Life                                                              | Nintendo                               | Nintendo 3DS | 2014 | NTSC (NA)
|       | Farming Simulator 14                                                      | Focus Home Interactive                 | Nintendo 3DS | 2014 | NTSC (NA)
|       | Farming Simulator 18                                                      | Focus Home Interactive                 | Nintendo 3DS | 2017 | NTSC (NA)
|       | Fast & Furious: Showdown                                                  | Activision                             | Nintendo 3DS | 2013 | NTSC (NA)
|       | FIFA 14: Legacy Edition                                                   | EA Sports                              | Nintendo 3DS | 2013 | NTSC (NA)
|       | FIFA 15                                                                   | EA Sports                              | Nintendo 3DS | 2014 | NTSC (NA)
|       | FIFA Soccer 12                                                            | Electronic Arts                        | Nintendo 3DS | 2011 | NTSC (NA)
|       | FIFA Soccer 13                                                            | EA Sports                              | Nintendo 3DS | 2012 | NTSC (NA)
|       | Final Fantasy Explorers                                                   | Square Enix                            | Nintendo 3DS | 2016 | NTSC (NA)
|       | Finding Nemo: Escape to the Big Blue - Special Edition                    | Disney Interactive Studios             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Finding Nemo: Escape to the Big Blue Special Edition                      | Disney Interactive Studios             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Fire Emblem Echoes: Shadows of Valentia                                   | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | Fire Emblem Fates: Birthright                                             | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Fire Emblem Fates: Conquest                                               | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Fire Emblem Fates: Special Edition                                        | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Fire Emblem Warriors                                                      | Koei Tecmo Games                       | Nintendo 3DS | 2017 | NTSC (NA)
|       | Fire Emblem: Awakening                                                    | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Fossil Fighters: Frontier                                                 | Nintendo                               | Nintendo 3DS | 2015 | NTSC (NA)
|       | Fractured Soul                                                            | Endgame Studios                        | Nintendo 3DS | 2012 | NTSC (NA)
|       | Freakyforms Deluxe: Your Creations, Alive!                                | Nintendo                               | Nintendo 3DS | 2012 | NTSC (NA)
|       | Frogger 3D                                                                | Konami                                 | Nintendo 3DS | 2011 | NTSC (NA)
|       | Funky Barn 3D                                                             | Ubisoft                                | Nintendo 3DS | 2012 | NTSC (NA)
|       | Gabrielle's Ghostly Groove 3D                                             | Natsume                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Gardening Mama 2: Forest Friends                                          | Majesco Games                          | Nintendo 3DS | 2014 | NTSC (NA)
|       | Garfield Kart                                                             | Square Enix                            | Nintendo 3DS | 2015 | NTSC (NA)
|       | Gem Smashers                                                              | Crave                                  | Nintendo 3DS | 2011 | NTSC (NA)
|       | Generator Rex: Agent of Providence                                        | Activision                             | Nintendo 3DS | 2011 | NTSC (NA)
