|       | Bubble Bobble                                                  | Taito Corporation            | Game Boy | 1991 | NTSC (NA)
|       | Bubble Bobble Part 2                                           | Taito Corporation            | Game Boy | 1993 | NTSC (NA)
|       | Bubble Ghost                                                   | FCI, Inc.                    | Game Boy | 1990 | NTSC (NA)
|       | Bubsy II                                                       | Accolade                     | Game Boy | 1998 | NTSC (NA)
|       | Bugs Bunny Crazy Castle 2, The                                 | Kemco                        | Game Boy | 1991 | NTSC (NA)
|       | Bugs Bunny Crazy Castle, The                                   | Kemco                        | Game Boy | 1990 | NTSC (NA)
|       | Burai Fighter Deluxe                                           | Taxan                        | Game Boy | 1991 | NTSC (NA)
|       | BurgerTime Deluxe                                              | Data East                    | Game Boy | 1991 | NTSC (NA)
|       | Bust-A-Move 2 Arcade Edition                                   | Acclaim                      | Game Boy | 1998 | NTSC (NA)
|       | Buster Bros.                                                   | Hudson Soft                  | Game Boy | 1993 | NTSC (NA)
|       | Caesars Palace                                                 | Arcadia Systems              | Game Boy | 1991 | NTSC (NA)
|       | Captain America and the Avengers                               | Mindscape Inc.               | Game Boy | 1994 | NTSC (NA)
|       | Casino Funpak                                                  | Interplay                    | Game Boy | 1995 | NTSC (NA)
|       | Casper                                                         | Natsume                      | Game Boy | 1996 | NTSC (NA)
|       | Castelian                                                      | Triffix                      | Game Boy | 1991 | NTSC (NA)
|       | Castlevania II: Belmont's Revenge                              | Konami                       | Game Boy | 1991 | NTSC (NA)
|       | Castlevania Legends                                            | Konami                       | Game Boy | 1998 | NTSC (NA)
|       | Castlevania: The Adventure                                     | Konami                       | Game Boy | 1989 | NTSC (NA)
|       | Catrap                                                         | Asmik Ace Entertainment, Inc | Game Boy | 1990 | NTSC (NA)
|       | Centipede                                                      | Accolade                     | Game Boy | 1992 | NTSC (NA)
|       | Centipede                                                      | Majesco Games                | Game Boy | 1998 | NTSC (NA)
|       | Championship Pool                                              | Mindscape Inc.               | Game Boy | 1993 | NTSC (NA)
|       | Chase H.Q.                                                     | Taito Corporation            | Game Boy | 1990 | NTSC (NA)
|       | Chessmaster, The                                               | Hi Tech Expressions          | Game Boy | 1991 | NTSC (NA)
|       | Choplifter II                                                  | Victor Interactive Software  | Game Boy | 1991 | NTSC (NA)
|       | Chuck Rock                                                     | Sony Imagesoft               | Game Boy | 1993 | NTSC (NA)
|       | Cliffhanger                                                    | Sony Imagesoft               | Game Boy | 1993 | NTSC (NA)
|       | College Slam                                                   | Acclaim                      | Game Boy | 1996 | NTSC (NA)
|       | Contra: The Alien Wars                                         | Konami                       | Game Boy | 1994 | NTSC (NA)
|       | Cool Ball                                                      | Takara                       | Game Boy | 1994 | NTSC (NA)
|       | Cool Spot                                                      | Virgin Interactive           | Game Boy | 1994 | NTSC (NA)
|       | Cool World                                                     | Ocean                        | Game Boy | 1993 | NTSC (NA)
|       | Cosmo Tank                                                     | ATLUS                        | Game Boy | 1990 | NTSC (NA)
|       | Crystal Quest                                                  | Data East                    | Game Boy | 1991 | NTSC (NA)
|       | Cutthroat Island                                               | Acclaim                      | Game Boy | 1996 | NTSC (NA)
|       | Cyraid                                                         | Nexoft                       | Game Boy | 1991 | NTSC (NA)
|       | Daedalian Opus                                                 | Vic Tokai                    | Game Boy | 1990 | NTSC (NA)
|       | Daffy Duck                                                     | SunSoft                      | Game Boy | 1995 | NTSC (NA)
|       | Darkman                                                        | Ocean                        | Game Boy | 1992 | NTSC (NA)
|       | David Crane's The Rescue of Princess Blobette                  | Absolute Entertainment       | Game Boy | 1991 | NTSC (NA)
|       | Days of Thunder                                                | Mindscape Inc.               | Game Boy | 1992 | NTSC (NA)
|       | Dead Heat Scramble                                             | Electro Brain                | Game Boy | 1990 | NTSC (NA)
|       | Dennis the Menace                                              | Ocean                        | Game Boy | 1994 | NTSC (NA)
|       | Desert Strike: Return to the Gulf                              | Malibu                       | Game Boy | 1995 | NTSC (NA)
|       | Dexterity                                                      | SNK                          | Game Boy | 1990 | NTSC (NA)
|       | Dick Tracy                                                     | Bandai                       | Game Boy | 1991 | NTSC (NA)
|       | Dig Dug                                                        | Namco                        | Game Boy | 1992 | NTSC (NA)
|       | Disney's Aladdin                                               | Virgin Interactive           | Game Boy | 1995 | NTSC (NA)
|       | Disney's Darkwing Duck                                         | Capcom                       | Game Boy | 1993 | NTSC (NA)
|       | Disney's DuckTales                                             | Capcom                       | Game Boy | 1990 | NTSC (NA)
|       | Disney's DuckTales 2                                           | Capcom                       | Game Boy | 1993 | NTSC (NA)
|       | Disney's Hercules                                              | THQ                          | Game Boy | 1997 | NTSC (NA)
|       | Disney's Mulan                                                 | THQ                          | Game Boy | 1998 | NTSC (NA)
|       | Disney's Pinocchio                                             | Black Pearl                  | Game Boy | 1996 | NTSC (NA)
|       | Disney's Pocahontas                                            | THQ                          | Game Boy | 1996 | NTSC (NA)
|       | Disney's TaleSpin                                              | Capcom                       | Game Boy | 1992 | NTSC (NA)
|       | Disney's The Hunchback of Notre Dame                           | Disney Interactive Studios   | Game Boy | 1997 | NTSC (NA)
|       | Disney's The Jungle Book                                       | Virgin Interactive           | Game Boy | 1994 | NTSC (NA)
|       | Disney's The Little Mermaid                                    | Capcom                       | Game Boy | 1993 | NTSC (NA)
|       | Donkey Kong                                                    | Nintendo                     | Game Boy | 1994 | NTSC (NA)
|       | Donkey Kong Land                                               | Nintendo                     | Game Boy | 1995 | NTSC (NA)
|       | Donkey Kong Land 2                                             | Nintendo                     | Game Boy | 1996 | NTSC (NA)
|       | Donkey Kong Land III                                           | Nintendo                     | Game Boy | 1997 | NTSC (NA)
|       | Double Dragon                                                  | Tradewest                    | Game Boy | 1990 | NTSC (NA)
|       | Double Dragon 3: The Arcade Game                               | Acclaim                      | Game Boy | 1992 | NTSC (NA)
|       | Double Dragon II                                               | Acclaim                      | Game Boy | 1991 | NTSC (NA)
|       | Double Dribble: 5 on 5                                         | Konami                       | Game Boy | 1991 | NTSC (NA)
|       | Dr. Franken                                                    | Kemco                        | Game Boy | 1992 | NTSC (NA)
|       | Dr. Franken II                                                 | Jaleco Entertainment         | Game Boy | 1997 | NTSC (NA)
|       | Dr. Mario                                                      | Nintendo                     | Game Boy | 1990 | NTSC (NA)
|       | Dragon's Lair: The Legend                                      | Sony Imagesoft               | Game Boy | 1991 | NTSC (NA)
|       | DragonHeart: Fire & Steel                                      | Acclaim                      | Game Boy | 1996 | NTSC (NA)
|       | Earthworm Jim                                                  | Playmates                    | Game Boy | 1995 | NTSC (NA)
|       | Elevator Action                                                | Taito Corporation            | Game Boy | 1991 | NTSC (NA)
|       | Elite Soccer                                                   | GameTek                      | Game Boy | 1994 | NTSC (NA)
|       | Exodus: Journey to the Promised Land                           | Wisdom Tree                  | Game Boy | 1992 | NTSC (NA)
|       | Extra Bases                                                    | Bandai                       | Game Boy | 1991 | NTSC (NA)
|       | F-1 Race                                                       | Nintendo                     | Game Boy | 1991 | NTSC (NA)
|       | F-15 Strike Eagle                                              | MicroProse                   | Game Boy | 1993 | NTSC (NA)
|       | F1 Pole Position                                               | Ubisoft                      | Game Boy | 1993 | NTSC (NA)
|       | Faceball 2000                                                  | Bullet Proof Software        | Game Boy | 1991 | NTSC (NA)
|       | Fastest Lap                                                    | NTVIC                        | Game Boy | 1992 | NTSC (NA)
|       | Felix the Cat                                                  | Hudson Soft                  | Game Boy | 1993 | NTSC (NA)
|       | Ferrari Grand Prix Challenge                                   | Acclaim                      | Game Boy | 1992 | NTSC (NA)
|       | Fidgetts, The                                                  | Jaleco Entertainment         | Game Boy | 1997 | NTSC (NA)
|       | FIFA International Soccer                                      | Malibu                       | Game Boy | 1995 | NTSC (NA)
|       | FIFA Soccer 96                                                 | EA Sports                    | Game Boy | 1995 | NTSC (NA)
|       | FIFA Soccer 97                                                 | Black Pearl                  | Game Boy | 1996 | NTSC (NA)
|       | Fighting Simulator: 2-in-1 Flying Warriors                     | Culture Brain                | Game Boy | 1992 | NTSC (NA)
|       | Final Fantasy Adventure                                        | SquareSoft                   | Game Boy | 1991 | NTSC (NA)
|       | Final Fantasy Legend                                           | SquareSoft                   | Game Boy | 1990 | NTSC (NA)
|       | Final Fantasy Legend II                                        | SquareSoft                   | Game Boy | 1991 | NTSC (NA)
|       | Final Fantasy Legend III                                       | SquareSoft                   | Game Boy | 1993 | NTSC (NA)
|       | Fish Dude                                                      | Sofel                        | Game Boy | 1991 | NTSC (NA)
|       | Fist of the North Star                                         | Electro Brain                | Game Boy | 1990 | NTSC (NA)
|       | Flash, The                                                     | THQ                          | Game Boy | 1992 | NTSC (NA)
|       | Flintstones: King Rock Treasure Island, The                    | Taito Corporation            | Game Boy | 1993 | NTSC (NA)
|       | Flintstones: The Movie, The                                    | Ocean                        | Game Boy | 1994 | NTSC (NA)
|       | Flipull                                                        | Taito Corporation            | Game Boy | 1990 | NTSC (NA)
|       | Foreman For Real                                               | Acclaim                      | Game Boy | 1995 | NTSC (NA)
|       | Fortified Zone                                                 | Jaleco Entertainment         | Game Boy | 1991 | NTSC (NA)
|       | Fortress of Fear: Wizards & Warriors X                         | Acclaim                      | Game Boy | 1990 | NTSC (NA)
|       | Frank Thomas: Big Hurt Baseball                                | Acclaim                      | Game Boy | 1995 | NTSC (NA)
|       | Frogger                                                        | Majesco Games                | Game Boy | 1998 | NTSC (NA)
|       | Game & Watch Gallery                                           | Nintendo                     | Game Boy | 1997 | NTSC (NA)
|       | Game of Harmony, The                                           | Accolade                     | Game Boy | 1991 | NTSC (NA)
|       | Gargoyle's Quest                                               | Capcom                       | Game Boy | 1990 | NTSC (NA)
|       | Gauntlet II                                                    | Mindscape Inc.               | Game Boy | 1991 | NTSC (NA)
|       | Gear Works                                                     | Sony Imagesoft               | Game Boy | 1993 | NTSC (NA)
|       | George Foreman's KO Boxing                                     | Acclaim                      | Game Boy | 1992 | NTSC (NA)
|       | Getaway: High Speed II, The                                    | Williams                     | Game Boy | 1995 | NTSC (NA)
|       | Ghostbusters II                                                | Activision                   | Game Boy | 1990 | NTSC (NA)
|       | Go! Go! Tank                                                   | Electro Brain                | Game Boy | 1991 | NTSC (NA)
