|       | Super Sidekicks 2: The World Championship  | SNK       | Neo Geo AES | 1994 | NTSC (NA)
|       | Super Spy, The                             | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Thrash Rally                               | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Top Player's Golf                          | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Viewpoint                                  | SNK       | Neo Geo AES | 1992 | NTSC (NA)
|       | Voltage Fighter Gowcaizer                  | SNK       | Neo Geo AES | 1995 | NTSC (NA)
|       | Windjammers                                | SNK       | Neo Geo AES | 1994 | NTSC (NA)
|       | World Heroes                               | SNK       | Neo Geo AES | 1992 | NTSC (NA)
|       | World Heroes 2                             | SNK       | Neo Geo AES | 1993 | NTSC (NA)
|       | World Heroes 2 Jet                         | SNK       | Neo Geo AES | 1994 | NTSC (NA)
|       | World Heroes Perfect                       | SNK       | Neo Geo AES | 1995 | NTSC (NA)
|       | Kizuna Encounter | SNK         | Neo Geo AES | 1996 | PAL
|       | Last Hope        | NG:DEV.TEAM | Neo Geo AES | 2006 | PAL
|       | NEO XYX          | NG:DEV.TEAM | Neo Geo AES | 2013 | PAL
|       | Andro Dunos                                       | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Art of Fighting: Ryuuko no Ken Gaiden             | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Ashita no Joe Densetsu                            | Wave             | Neo Geo AES | 1991 | NTSC (JP)
|       | ASO II: Last Guardian                             | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Bakatonosama Majong Manyuuki                      | Monolith (Japan) | Neo Geo AES | 1991 | NTSC (JP)
|       | Bakumatsu Rouman Dai Ni Maku: Gekka no Kenshi     | SNK              | Neo Geo AES | 1999 | NTSC (JP)
|       | Bakumatsu Rouman: Gekka no Kenshi                 | SNK              | Neo Geo AES | 1998 | NTSC (JP)
|       | Baseball Stars 2                                  | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Baseball Stars Professional                       | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Big Tournament Golf                               | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Blazing Star                                      | SNK              | Neo Geo AES | 1998 | NTSC (JP)
|       | Breakers                                          | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Burning Fight                                     | SNK              | Neo Geo AES | 1991 | NTSC (JP)
