|       | Codebreaker                                          | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Color Bar Generator                                  | Videosoft                    | Atari 2600 | 1984 | NTSC (NA)
|       | Combat                                               | Atari                        | Atari 2600 | 1977 | NTSC (NA)
|       | Combat Two                                           | Atari                        | Atari 2600 | 2013 | NTSC (NA)
|       | Commando                                             | Activision                   | Atari 2600 | 1988 | NTSC (NA)
|       | Commando Raid                                        | US Games                     | Atari 2600 | 1982 | NTSC (NA)
|       | Communist Mutants From Space                         | Arcadia                      | Atari 2600 | 1982 | NTSC (NA)
|       | Concentration                                        | Atari, Inc.                  | Atari 2600 | 1978 | NTSC (NA)
|       | Condor Attack                                        | Ultravision                  | Atari 2600 | 1983 | NTSC (NA)
|       | Congo Bongo                                          | Sega                         | Atari 2600 | 1983 | NTSC (NA)
|       | Cookie Monster Munch                                 | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Cosmic Ark                                           | Imagic                       | Atari 2600 | 1982 | NTSC (NA)
|       | Cosmic Commuter                                      | Activision                   | Atari 2600 | 1984 | NTSC (NA)
|       | Cosmic Corridor                                      | Zimag                        | Atari 2600 | 1984 | NTSC (NA)
|       | Cosmic Creeps                                        | Telesys                      | Atari 2600 | 1982 | NTSC (NA)
|       | Cosmic Swarm                                         | CommaVid, Inc.               | Atari 2600 | 1982 | NTSC (NA)
|       | Cosmic War                                           | Homevision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Crackpots                                            | Activision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Crash Dive                                           | 20th Century Fox Video Games | Atari 2600 | 1982 | NTSC (NA)
|       | Crazy Climber                                        | Atari                        | Atari 2600 | 1982 | NTSC (NA)
|       | Cross Force                                          | Spectravision                | Atari 2600 | 1982 | NTSC (NA)
|       | Crossbow                                             | Atari                        | Atari 2600 | 1987 | NTSC (NA)
|       | Cruise Missile                                       | Froggo                       | Atari 2600 | 1982 | NTSC (NA)
|       | Crypts of Chaos                                      | 20th Century Fox Video Games | Atari 2600 | 1982 | NTSC (NA)
|       | Crystal Castles                                      | Atari                        | Atari 2600 | 1984 | NTSC (NA)
|       | Cubicolor                                            | Rob Fulop                    | Atari 2600 | 1985 | NTSC (NA)
|       | Custer's Revenge                                     | Mystique                     | Atari 2600 | 1982 | NTSC (NA)
|       | Dancing Plate                                        | Bit Corp.                    | Atari 2600 | 1983 | NTSC (NA)
|       | Dark Cavern                                          | Mattel                       | Atari 2600 | 1982 | NTSC (NA)
|       | Dark Chambers                                        | Atari                        | Atari 2600 | 1988 | NTSC (NA)
|       | Deadly Duck                                          | 20th Century Fox Video Games | Atari 2600 | 1982 | NTSC (NA)
|       | Death Trap                                           | Avalon Hill                  | Atari 2600 | 1983 | NTSC (NA)
|       | Defender                                             | Atari                        | Atari 2600 | 1981 | NTSC (NA)
|       | Demolition Herby                                     | Telesys                      | Atari 2600 | 1983 | NTSC (NA)
|       | Demon Attack                                         | Imagic                       | Atari 2600 | 1982 | NTSC (NA)
|       | Demons To Diamonds                                   | Atari                        | Atari 2600 | 1982 | NTSC (NA)
|       | Desert Falcon                                        | Atari                        | Atari 2600 | 1987 | NTSC (NA)
|       | Dice Puzzle                                          | Panda Entertainment          | Atari 2600 | 1983 | NTSC (NA)
|       | Dice Puzzle                                          | Sancho                       | Atari 2600 | 1983 | NTSC (NA)
|       | Dig Dug                                              | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Dishaster                                            | Zimag                        | Atari 2600 | 1983 | NTSC (NA)
|       | Dodge 'Em                                            | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Dolphin                                              | Activision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Donkey Kong                                          | Coleco                       | Atari 2600 | 1982 | NTSC (NA)
|       | Donkey Kong Junior                                   | Coleco                       | Atari 2600 | 1983 | NTSC (NA)
|       | Double Dragon                                        | Activision                   | Atari 2600 | 1989 | NTSC (NA)
|       | Double Dunk                                          | Atari                        | Atari 2600 | 1989 | NTSC (NA)
|       | Double Ender: Artillery Duel/Chuck Norris Superkicks | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Double Ender: Artillery Duel/Ghost Manor             | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Double Ender: Artillery Duel/Spike's Peak            | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Double Ender: Chuck Norris Superkicks/Ghost Manor    | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Double Ender: Chuck Norris Superkicks/Spike's Peak   | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Double Ender: Ghost Manor/Spike's Peak               | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Double Ender: Motocross Racer/Tomarc the Barbarian   | Xonox                        | Atari 2600 | 1984 | NTSC (NA)
|       | Double Ender: Robin Hood/Sir Lancelot                | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Dragon Defender                                      | Ariola                       | Atari 2600 | 1984 | NTSC (NA)
|       | Dragonfire                                           | Imagic                       | Atari 2600 | 1982 | NTSC (NA)
|       | Dragonstomper                                        | Starpath Corp.               | Atari 2600 | 1982 | NTSC (NA)
|       | Dragster                                             | Activision                   | Atari 2600 | 1980 | NTSC (NA)
|       | E.T.: The Extra Terrestrial                          | Atari                        | Atari 2600 | 1982 | NTSC (NA)
|       | Earth Dies Screaming                                 | 20th Century Fox Video Games | Atari 2600 | 1983 | NTSC (NA)
|       | Eggomania                                            | US Games                     | Atari 2600 | 1982 | NTSC (NA)
|       | Elevator Action                                      | Atari                        | Atari 2600 | 2013 | NTSC (NA)
|       | Eli's Ladder                                         | Simage                       | Atari 2600 | 1982 | NTSC (NA)
|       | Encounter At L-5                                     | Data Age                     | Atari 2600 | 1982 | NTSC (NA)
|       | Enduro                                               | Activision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Entity                                               | CGE Services                 | Atari 2600 | 2003 | NTSC (NA)
|       | Entombed                                             | US Games                     | Atari 2600 | 1982 | NTSC (NA)
|       | Escape From The Mindmaster                           | Starpath Corp.               | Atari 2600 | 1982 | NTSC (NA)
|       | Espial                                               | Tigervision                  | Atari 2600 | 1984 | NTSC (NA)
|       | Exocet                                               | Panda Entertainment          | Atari 2600 | 1983 | NTSC (NA)
|       | Exocet                                               | Sancho                       | Atari 2600 | 1982 | NTSC (NA)
|       | Fantastic Voyage                                     | 20th Century Fox Video Games | Atari 2600 | 1982 | NTSC (NA)
|       | Fast Eddie                                           | 20th Century Fox Video Games | Atari 2600 | 1982 | NTSC (NA)
|       | Fast Food                                            | Telesys                      | Atari 2600 | 1982 | NTSC (NA)
|       | Fatal Run                                            | Atari                        | Atari 2600 | 1990 | NTSC (NA)
|       | Fathom                                               | Imagic                       | Atari 2600 | 1983 | NTSC (NA)
|       | Final Approach                                       | Apollo                       | Atari 2600 | 1982 | NTSC (NA)
|       | Fire Fighter                                         | Imagic                       | Atari 2600 | 1982 | NTSC (NA)
|       | Fire Fly                                             | Mythicon                     | Atari 2600 | 1983 | NTSC (NA)
|       | Fireball                                             | Starpath Corp.               | Atari 2600 | 1982 | NTSC (NA)
|       | Fishing Derby                                        | Activision                   | Atari 2600 | 1980 | NTSC (NA)
|       | Flag Capture                                         | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Flash Gordon                                         | 20th Century Fox Video Games | Atari 2600 | 1983 | NTSC (NA)
|       | Football                                             | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Forest                                               | Sancho                       | Atari 2600 | 1983 | NTSC (NA)
|       | Frankenstein's Monster                               | Data Age                     | Atari 2600 | 1983 | NTSC (NA)
|       | Freeway                                              | Activision                   | Atari 2600 | 1981 | NTSC (NA)
|       | Frogger                                              | Parker Bros.                 | Atari 2600 | 1982 | NTSC (NA)
|       | Frogger II: Threeedeep!                              | Parker Bros                  | Atari 2600 | 1984 | NTSC (NA)
|       | Frogs And Flies                                      | Mattel                       | Atari 2600 | 1982 | NTSC (NA)
|       | Front Line                                           | Coleco                       | Atari 2600 | 1984 | NTSC (NA)
|       | Frontline                                            | Zellers                      | Atari 2600 | 1977 | NTSC (NA)
|       | Frostbite                                            | Activision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Fun With Numbers                                     | Atari                        | Atari 2600 | 1977 | NTSC (NA)
|       | G.I. Joe: Cobra Strike                               | Parker Bros.                 | Atari 2600 | 1983 | NTSC (NA)
|       | Galactic                                             | Rainbow Vision               | Atari 2600 | 1984 | NTSC (NA)
|       | Galaxian                                             | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Gangster Alley                                       | Spectravision                | Atari 2600 | 1983 | NTSC (NA)
|       | Gas Hog                                              | Spectravision                | Atari 2600 | 1983 | NTSC (NA)
|       | Gauntlet                                             | Answer Software              | Atari 2600 | 1983 | NTSC (NA)
|       | Ghost Manor                                          | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Ghostbusters                                         | Activision                   | Atari 2600 | 1985 | NTSC (NA)
|       | Glacier Patrol                                       | Telegames, Inc.              | Atari 2600 | 1983 | NTSC (NA)
|       | Glib                                                 | Selchow & Righter            | Atari 2600 | 1983 | NTSC (NA)
|       | Golf                                                 | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Gopher                                               | US Games                     | Atari 2600 | 1982 | NTSC (NA)
|       | Gorf                                                 | CBS Electronics              | Atari 2600 | 1982 | NTSC (NA)
|       | Grand Prix                                           | Activision                   | Atari 2600 | 1982 | NTSC (NA)
|       | Gravitar                                             | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Great Escape                                         | Bomb                         | Atari 2600 | 1983 | NTSC (NA)
|       | Gremlins                                             | Atari                        | Atari 2600 | 1984 | NTSC (NA)
|       | Guardian                                             | Apollo                       | Atari 2600 | 1982 | NTSC (NA)
|       | Gyruss                                               | Parker Bros                  | Atari 2600 | 1984 | NTSC (NA)
|       | H.E.R.O.                                             | Activision                   | Atari 2600 | 1984 | NTSC (NA)
|       | Halloween                                            | Wizard Video Games           | Atari 2600 | 1983 | NTSC (NA)
|       | Hangman                                              | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Harbor Escape                                        | Panda Entertainment          | Atari 2600 | 1983 | NTSC (NA)
|       | Haunted House                                        | Atari                        | Atari 2600 | 1981 | NTSC (NA)
|       | Home Run                                             | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Hot Action Pack                                      | HES Interactive              | Atari 2600 | 1990 | NTSC (NA)
|       | Human Cannonball                                     | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Hunt & Score                                         | Atari                        | Atari 2600 | 1980 | NTSC (NA)
|       | I Want My Mommy                                      | Zimag                        | Atari 2600 | 1983 | NTSC (NA)
|       | Ice Hockey                                           | Activision                   | Atari 2600 | 1981 | NTSC (NA)
|       | Ikari Warriors                                       | Data East                    | Atari 2600 | 1989 | NTSC (NA)
|       | Indy 500                                             | Atari                        | Atari 2600 | 1977 | NTSC (NA)
|       | Infiltrate                                           | Apollo                       | Atari 2600 | 1982 | NTSC (NA)
|       | International Soccer                                 | Mattel                       | Atari 2600 | 1982 | NTSC (NA)
|       | James Bond 007                                       | Parker Bros                  | Atari 2600 | 1983 | NTSC (NA)
|       | Jawbreaker                                           | Tigervision                  | Atari 2600 | 1982 | NTSC (NA)
|       | Journey Escape                                       | Data Age                     | Atari 2600 | 1982 | NTSC (NA)
|       | Joust                                                | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Jr. Pac-Man                                          | Atari                        | Atari 2600 | 1984 | NTSC (NA)
|       | Jungle Fever/Knight on the Town                      | Playaround                   | Atari 2600 | 1982 | NTSC (NA)
|       | Jungle Hunt                                          | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Kaboom!                                              | Activision                   | Atari 2600 | 1981 | NTSC (NA)
|       | Kangaroo                                             | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Karate                                               | Ultravision                  | Atari 2600 | 1980 | NTSC (NA)
|       | Keystone Kapers                                      | Activision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Kid Vid                                              | Coleco                       | Atari 2600 | 1983 | NTSC (NA)
|       | Killer Satellites                                    | Starpath Corp.               | Atari 2600 | 1983 | NTSC (NA)
|       | King Kong                                            | Tigervision                  | Atari 2600 | 1982 | NTSC (NA)
|       | Kool-Aid Man                                         | Mattel                       | Atari 2600 | 1983 | NTSC (NA)
|       | Krull                                                | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Kung Fu Master                                       | Activision                   | Atari 2600 | 1987 | NTSC (NA)
|       | Kung Fu Superkicks: Pursuit of The Ninja             | Telegames, Inc.              | Atari 2600 | 1987 | NTSC (NA)
|       | Laser Blast                                          | Activision                   | Atari 2600 | 1981 | NTSC (NA)
|       | Laser Gates                                          | Imagic                       | Atari 2600 | 1983 | NTSC (NA)
|       | Laser Volley                                         | Zellers                      | Atari 2600 | 1983 | NTSC (NA)
|       | Lilly Adventure                                      | Homevision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Lochjaw                                              | Apollo                       | Atari 2600 | 1981 | NTSC (NA)
|       | Lock 'n' Chase                                       | Mattel                       | Atari 2600 | 1982 | NTSC (NA)
|       | London Blitz                                         | Avalon Hill                  | Atari 2600 | 1983 | NTSC (NA)
|       | Lost Luggage                                         | Apollo                       | Atari 2600 | 1982 | NTSC (NA)
|       | M.A.D.                                               | US Games                     | Atari 2600 | 1982 | NTSC (NA)
|       | M*A*S*H                                              | 20th Century Fox Video Games | Atari 2600 | 1983 | NTSC (NA)
|       | Magic Carpet                                         | Homevision                   | Atari 2600 | 1983 | NTSC (NA)
|       | MagiCard                                             | CommaVid, Inc.               | Atari 2600 | 1982 | NTSC (NA)
|       | Malagai                                              | Answer Software              | Atari 2600 | 1983 | NTSC (NA)
|       | Mangia'                                              | Spectravision                | Atari 2600 | 1983 | NTSC (NA)
|       | Marauder                                             | Tigervision                  | Atari 2600 | 1982 | NTSC (NA)
|       | Marine Wars                                          | Konami                       | Atari 2600 | 1983 | NTSC (NA)
|       | Mario Bros.                                          | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Master Builder                                       | Spectravision                | Atari 2600 | 1983 | NTSC (NA)
|       | Masters of the Universe: Power of He-Man             | Mattel                       | Atari 2600 | 1983 | NTSC (NA)
|       | Math Gran Prix                                       | Atari                        | Atari 2600 | 1982 | NTSC (NA)
|       | Maze Craze: A Game of Cops 'n Robbers                | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Mega Force                                           | 20th Century Fox Video Games | Atari 2600 | 1982 | NTSC (NA)
|       | Megamania                                            | Activision                   | Atari 2600 | 1982 | NTSC (NA)
|       | Meteor Defense                                       | ITT Family Games             | Atari 2600 | 1983 | NTSC (NA)
|       | Midnight Magic                                       | Atari                        | Atari 2600 | 1984 | NTSC (NA)
|       | Millipede                                            | Atari                        | Atari 2600 | 1984 | NTSC (NA)
|       | Miner 2049er                                         | Tigervision                  | Atari 2600 | 1983 | NTSC (NA)
|       | Miner 2049er Volume II                               | Tigervision                  | Atari 2600 | 1983 | NTSC (NA)
|       | Mines of Minos                                       | CommaVid, Inc.               | Atari 2600 | 1982 | NTSC (NA)
|       | Miniature Golf                                       | Atari                        | Atari 2600 | 1979 | NTSC (NA)
