|       | Ikari Warriors               | Atari                  | Atari 7800 | 1990 | PAL
|       | Impossible Mission           | Atari                  | Atari 7800 | 1986 | PAL
|       | Jinks                        | Atari                  | Atari 7800 | 1989 | PAL
|       | Joust                        | Atari                  | Atari 7800 | 1986 | PAL
|       | Karateka                     | Atari                  | Atari 7800 | 1988 | PAL
|       | Kung Fu Master               | Absolute Entertainment | Atari 7800 | 1989 | PAL
|       | Mario Bros.                  | Atari                  | Atari 7800 | 1987 | PAL
|       | Mat Mania Challenge          | Atari                  | Atari 7800 | 1990 | PAL
|       | Mean 18 Golf                 | Atari                  | Atari 7800 | 1989 | PAL
|       | Meltdown                     | Atari                  | Atari 7800 | 1990 | PAL
|       | Midnight Mutants             | Atari                  | Atari 7800 | 1990 | PAL
|       | Motor Psycho                 | Atari                  | Atari 7800 | 1990 | PAL
|       | Ms. Pac-Man                  | Atari                  | Atari 7800 | 1987 | PAL
|       | Ninja Golf                   | Atari                  | Atari 7800 | 1990 | PAL
|       | One-on-One Basketball        | Atari                  | Atari 7800 | 1987 | PAL
|       | Pete Rose Baseball           | Absolute Entertainment | Atari 7800 | 1989 | PAL
|       | Planet Smashers              | Atari                  | Atari 7800 | 1990 | PAL
|       | Pole Position II             | Atari                  | Atari 7800 | 1987 | PAL
|       | Scrapyard Dog                | Atari                  | Atari 7800 | 1991 | PAL
|       | Sentinel                     | Atari Corporation      | Atari 7800 | 1991 | PAL
|       | Super Huey UH-IX             | Atari                  | Atari 7800 | 1988 | PAL
|       | Super Skateboardin'          | Absolute Entertainment | Atari 7800 | 1988 | PAL
|       | Title Match Pro Wrestling    | Absolute Entertainment | Atari 7800 | 1989 | PAL
|       | Tomcat F-14 Flight Simulator | Absolute Entertainment | Atari 7800 | 1989 | PAL
|       | Tower Toppler                | Atari                  | Atari 7800 | 1988 | PAL
|       | Xenophobe                    | Atari                  | Atari 7800 | 1989 | PAL
|       | Xevious                      | Atari                  | Atari 7800 | 1987 | PAL
