|       | Buzz! Master Quiz                                                                  | SCEA                                   | PlayStation Portable | 2008 | NTSC (NA)
|       | Buzz! Quiz World                                                                   | SCEA                                   | PlayStation Portable | 2009 | NTSC (NA)
|       | Cabela's African Safari                                                            | Activision Value                       | PlayStation Portable | 2006 | NTSC (NA)
|       | Cabela's Dangerous Hunts Ultimate Challenge                                        | Activision                             | PlayStation Portable | 2006 | NTSC (NA)
|       | Cabela's Legendary Adventures                                                      | Activision                             | PlayStation Portable | 2008 | NTSC (NA)
|       | Cabela's North American Adventures                                                 | Activision                             | PlayStation Portable | 2010 | NTSC (NA)
|       | Cake Mania: Baker's Challenge                                                      | Destineer                              | PlayStation Portable | 2008 | NTSC (NA)
|       | Call of Duty: Roads to Victory                                                     | Activision                             | PlayStation Portable | 2007 | NTSC (NA)
|       | Capcom Classics Collection Reloaded                                                | Capcom                                 | PlayStation Portable | 2006 | NTSC (NA)
|       | Capcom Classics Collection Remixed                                                 | Capcom                                 | PlayStation Portable | 2006 | NTSC (NA)
|       | Capcom Classics Collection Remixed / Capcom Classics Collection Reloaded Dual Pack | Capcom                                 | PlayStation Portable | 2011 | NTSC (NA)
|       | Capcom Puzzle World                                                                | Capcom                                 | PlayStation Portable | 2007 | NTSC (NA)
|       | Carol Vorderman's Sudoku                                                           | Eidos Interactive                      | PlayStation Portable | 2007 | NTSC (NA)
|       | Cars                                                                               | THQ                                    | PlayStation Portable | 2006 | NTSC (NA)
|       | Cars 2: The Video Game                                                             | SCEA                                   | PlayStation Portable | 2011 | NTSC (NA)
|       | Cars Race-O-Rama                                                                   | THQ                                    | PlayStation Portable | 2009 | NTSC (NA)
|       | Castlevania: The Dracula X Chronicles                                              | Konami                                 | PlayStation Portable | 2007 | NTSC (NA)
|       | Chameleon                                                                          | Tommo                                  | PlayStation Portable | 2008 | NTSC (NA)
|       | Chessmaster: The Art of Learning                                                   | Ubisoft                                | PlayStation Portable | 2008 | NTSC (NA)
|       | Chili Con Carnage                                                                  | Eidos Interactive                      | PlayStation Portable | 2007 | NTSC (NA)
|       | CID The Dummy                                                                      | Oxygen Interactive                     | PlayStation Portable | 2009 | NTSC (NA)
|       | Class of Heroes                                                                    | ATLUS                                  | PlayStation Portable | 2009 | NTSC (NA)
|       | Class of Heroes 2                                                                  | MonkeyPaw Games                        | PlayStation Portable | 2013 | NTSC (NA)
|       | Class of Heroes 3                                                                  | MonkeyPaw Games                        | PlayStation Portable | 2017 | NTSC (NA)
|       | Cloudy With a Chance of Meatballs                                                  | Ubisoft                                | PlayStation Portable | 2009 | NTSC (NA)
|       | Code Lyoko: Quest for Infinity                                                     | The Game Factory                       | PlayStation Portable | 2008 | NTSC (NA)
|       | Coded Arms                                                                         | Konami                                 | PlayStation Portable | 2005 | NTSC (NA)
|       | Coded Arms: Contagion                                                              | Konami                                 | PlayStation Portable | 2007 | NTSC (NA)
|       | Con, The                                                                           | SCEA                                   | PlayStation Portable | 2005 | NTSC (NA)
|       | Crash of the Titans                                                                | Sierra Entertainment                   | PlayStation Portable | 2007 | NTSC (NA)
|       | Crash Tag Team Racing                                                              | VU Games                               | PlayStation Portable | 2005 | NTSC (NA)
|       | Crash: Mind Over Mutant                                                            | Activision Blizzard                    | PlayStation Portable | 2008 | NTSC (NA)
|       | Crazy Taxi: Fare Wars                                                              | Sega                                   | PlayStation Portable | 2007 | NTSC (NA)
|       | Crimson Gem Saga                                                                   | ATLUS                                  | PlayStation Portable | 2009 | NTSC (NA)
|       | Crisis Core: Final Fantasy VII                                                     | Square Enix                            | PlayStation Portable | 2008 | NTSC (NA)
|       | Crush                                                                              | Sega                                   | PlayStation Portable | 2007 | NTSC (NA)
|       | Cube                                                                               | D3Publisher                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Dante's Inferno                                                                    | Electronic Arts                        | PlayStation Portable | 2010 | NTSC (NA)
|       | Darkstalkers Chronicle: The Chaos Tower                                            | Capcom                                 | PlayStation Portable | 2005 | NTSC (NA)
|       | Dave Mirra BMX Challenge                                                           | Crave                                  | PlayStation Portable | 2006 | NTSC (NA)
|       | Daxter                                                                             | SCEA                                   | PlayStation Portable | 2006 | NTSC (NA)
|       | Dead Head Fred                                                                     | D3Publisher                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Dead or Alive Paradise                                                             | Tecmo                                  | PlayStation Portable | 2010 | NTSC (NA)
|       | Dead to Rights: Reckoning                                                          | Namco                                  | PlayStation Portable | 2005 | NTSC (NA)
|       | Death Jr.                                                                          | Konami                                 | PlayStation Portable | 2005 | NTSC (NA)
|       | Death Jr. II: Root of Evil                                                         | Konami                                 | PlayStation Portable | 2006 | NTSC (NA)
|       | Def Jam: Fight for NY: The Takeover                                                | EA Games                               | PlayStation Portable | 2006 | NTSC (NA)
|       | Despicable Me                                                                      | D3Publisher                            | PlayStation Portable | 2010 | NTSC (NA)
|       | Despicable Me: The Game                                                            | D3Publisher                            | PlayStation Portable | 2010 | NTSC (NA)
|       | Diner Dash: Sizzle & Serve                                                         | Eidos Interactive                      | PlayStation Portable | 2007 | NTSC (NA)
|       | DiRT 2                                                                             | Codemasters                            | PlayStation Portable | 2009 | NTSC (NA)
|       | Disgaea 2: Dark Hero Days                                                          | NIS America                            | PlayStation Portable | 2009 | NTSC (NA)
|       | Disgaea Infinite                                                                   | NIS America                            | PlayStation Portable | 2010 | NTSC (NA)
|       | Disgaea: Afternoon of Darkness                                                     | NIS America                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Disney Hannah Montana: Rock Out the Show                                           | Disney Interactive Studios             | PlayStation Portable | 2009 | NTSC (NA)
|       | Dissidia 012: Duodecim Final Fantasy                                               | Square Enix                            | PlayStation Portable | 2011 | NTSC (NA)
|       | Dissidia: Final Fantasy                                                            | Square Enix                            | PlayStation Portable | 2009 | NTSC (NA)
|       | DJ Max Fever                                                                       | PM Studios Inc.                        | PlayStation Portable | 2009 | NTSC (NA)
|       | DJ Max Portable 3                                                                  | PM Studios Inc.                        | PlayStation Portable | 2010 | NTSC (NA)
|       | Double Rivals Attack Pack!                                                         | Sega                                   | PlayStation Portable | 2011 | NTSC (NA)
|       | Double Super Hero Pack!                                                            | Sega                                   | PlayStation Portable | 2011 | NTSC (NA)
|       | Downstream Panic!                                                                  | Atari                                  | PlayStation Portable | 2008 | NTSC (NA)
|       | Dragon Ball Z: Shin Budokai                                                        | Atari                                  | PlayStation Portable | 2006 | NTSC (NA)
|       | Dragon Ball Z: Shin Budokai - Another Road                                         | Atari                                  | PlayStation Portable | 2007 | NTSC (NA)
|       | Dragon Ball Z: Tenkaichi Tag Team                                                  | Namco Bandai Games                     | PlayStation Portable | 2010 | NTSC (NA)
|       | Dragon Ball: Evolution                                                             | Namco Bandai Games America             | PlayStation Portable | 2009 | NTSC (NA)
|       | Dragoneer's Aria                                                                   | NIS America                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Driver '76                                                                         | Ubisoft                                | PlayStation Portable | 2007 | NTSC (NA)
|       | DT Carnage                                                                         | Agetec Inc.                            | PlayStation Portable | 2009 | NTSC (NA)
|       | Dual Pack: Hot Shots Golf: Open Tee / Hot Shots Golf: Get A Grip                   | SCEA                                   | PlayStation Portable | 2012 | NTSC (NA)
|       | Dual Pack: Patapon / LocoRoco                                                      | SCEA                                   | PlayStation Portable | 2012 | NTSC (NA)
|       | Dual Pack: Secret Agent Clank / Daxter                                             | SCEA                                   | PlayStation Portable | 2011 | NTSC (NA)
|       | Dual Pack: Syphon Filter: Dark Mirror / SOCOM: U.S. Navy SEALs Fireteam Bravo      | SCEA                                   | PlayStation Portable | 2011 | NTSC (NA)
|       | Dual Pack: Syphon Filter: Logan's Shadow / Killzone: Liberation                    | SCEA                                   | PlayStation Portable | 2011 | NTSC (NA)
|       | Dungeon Explorer: Warriors of Ancient Arts                                         | Hudson Entertainment                   | PlayStation Portable | 2008 | NTSC (NA)
|       | Dungeon Maker II: The Hidden War                                                   | UFO Interactive                        | PlayStation Portable | 2008 | NTSC (NA)
|       | Dungeon Maker: Hunting Ground                                                      | Xseed Games                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Dungeon Siege: Throne of Agony                                                     | Take-Two Interactive                   | PlayStation Portable | 2006 | NTSC (NA)
