|       | Blockbuster World Video Game Championship II: Donkey Kong Country Competition Cartridge | Nintendo                     | Super Nintendo | 1994 | NTSC (NA)
|       | Blues Brothers, The                                                                     | Titus Software               | Super Nintendo | 1993 | NTSC (NA)
|       | Bonkers                                                                                 | Capcom                       | Super Nintendo | 1994 | NTSC (NA)
|       | Boogerman: A Pick and Flick Adventure                                                   | Interplay                    | Super Nintendo | 1995 | NTSC (NA)
|       | Boxing Legends of the Ring                                                              | Electro Brain                | Super Nintendo | 1994 | NTSC (NA)
|       | Brain Lord                                                                              | Enix America, Inc.           | Super Nintendo | 1994 | NTSC (NA)
|       | Brainies, The                                                                           | Titus Software               | Super Nintendo | 1996 | NTSC (NA)
|       | Bram Stoker's Dracula                                                                   | Sony Imagesoft               | Super Nintendo | 1993 | NTSC (NA)
|       | Brandish                                                                                | Koei                         | Super Nintendo | 1995 | NTSC (NA)
|       | Brawl Brothers                                                                          | Jaleco Entertainment         | Super Nintendo | 1993 | NTSC (NA)
|       | BreakThru!                                                                              | Spectrum Holobyte            | Super Nintendo | 1994 | NTSC (NA)
|       | Breath of Fire                                                                          | SquareSoft                   | Super Nintendo | 1994 | NTSC (NA)
|       | Breath of Fire II                                                                       | Capcom                       | Super Nintendo | 1995 | NTSC (NA)
|       | Brett Hull Hockey                                                                       | Accolade                     | Super Nintendo | 1994 | NTSC (NA)
|       | Brett Hull Hockey 95                                                                    | Accolade                     | Super Nintendo | 1995 | NTSC (NA)
|       | Bronkie the Bronchiasaurus                                                              | Raya Systems                 | Super Nintendo | 1995 | NTSC (NA)
|       | Brunswick World Tournament of Champions                                                 | THQ                          | Super Nintendo | 1997 | NTSC (NA)
|       | Brutal: Paws of Fury                                                                    | Cybersoft                    | Super Nintendo | 1994 | NTSC (NA)
|       | Bubsy II                                                                                | Accolade                     | Super Nintendo | 1994 | NTSC (NA)
|       | Bubsy in: Claws Encounters of the Furred Kind                                           | Accolade                     | Super Nintendo | 1993 | NTSC (NA)
|       | Bugs Bunny: Rabbit Rampage                                                              | SunSoft                      | Super Nintendo | 1994 | NTSC (NA)
|       | Bulls vs Blazers and the NBA Playoffs                                                   | EA Sports                    | Super Nintendo | 1992 | NTSC (NA)
|       | Bust-A-Move                                                                             | Taito Corporation            | Super Nintendo | 1995 | NTSC (NA)
|       | C2 - Clay Fighter 2: Judgment Clay                                                      | Interplay                    | Super Nintendo | 1995 | NTSC (NA)
|       | Cacoma Knight in Bizyland                                                               | Seta Corporation             | Super Nintendo | 1993 | NTSC (NA)
|       | Cal Ripken Jr. Baseball                                                                 | Mindscape Inc.               | Super Nintendo | 1992 | NTSC (NA)
|       | California Games II                                                                     | DTMC                         | Super Nintendo | 1993 | NTSC (NA)
|       | Cannondale Cup                                                                          | American Softworks           | Super Nintendo | 1994 | NTSC (NA)
|       | Capcom's MVP Football                                                                   | Capcom                       | Super Nintendo | 1993 | NTSC (NA)
|       | Capcom's Soccer Shootout                                                                | Capcom                       | Super Nintendo | 1994 | NTSC (NA)
|       | Captain America and the Avengers                                                        | Mindscape Inc.               | Super Nintendo | 1993 | NTSC (NA)
|       | Captain Commando                                                                        | Capcom                       | Super Nintendo | 1995 | NTSC (NA)
|       | Captain Novolin                                                                         | Raya Systems                 | Super Nintendo | 1992 | NTSC (NA)
|       | Carrier Aces                                                                            | Cybersoft                    | Super Nintendo | 1995 | NTSC (NA)
|       | Casper                                                                                  | Natsume                      | Super Nintendo | 1996 | NTSC (NA)
|       | Castlevania: Dracula X                                                                  | Konami                       | Super Nintendo | 1995 | NTSC (NA)
|       | Champions World Class Soccer                                                            | Acclaim                      | Super Nintendo | 1994 | NTSC (NA)
|       | Championship Pool                                                                       | Mindscape Inc.               | Super Nintendo | 1993 | NTSC (NA)
|       | Championship Soccer '94                                                                 | Sony Imagesoft               | Super Nintendo | 1994 | NTSC (NA)
|       | Chavez                                                                                  | American Softworks           | Super Nintendo | 1994 | NTSC (NA)
|       | Chavez II                                                                               | American Softworks           | Super Nintendo | 1994 | NTSC (NA)
|       | Chessmaster, The                                                                        | Mindscape Inc.               | Super Nintendo | 1991 | NTSC (NA)
|       | Chester Cheetah: Too Cool to Fool                                                       | Kaneko                       | Super Nintendo | 1992 | NTSC (NA)
|       | Chester Cheetah: Wild Wild Quest                                                        | Kaneko                       | Super Nintendo | 1994 | NTSC (NA)
|       | Choplifter III                                                                          | Victor Interactive Software  | Super Nintendo | 1994 | NTSC (NA)
|       | Chrono Trigger                                                                          | SquareSoft                   | Super Nintendo | 1995 | NTSC (NA)
|       | Chuck Rock                                                                              | Sony Imagesoft               | Super Nintendo | 1992 | NTSC (NA)
|       | ClayFighter                                                                             | Interplay                    | Super Nintendo | 1993 | NTSC (NA)
|       | ClayFighter: Tournament Edition                                                         | Interplay                    | Super Nintendo | 1994 | NTSC (NA)
|       | Claymates                                                                               | Interplay                    | Super Nintendo | 1994 | NTSC (NA)
|       | Cliffhanger                                                                             | Sony Imagesoft               | Super Nintendo | 1993 | NTSC (NA)
|       | Clue                                                                                    | Parker Bros.                 | Super Nintendo | 1992 | NTSC (NA)
|       | College Football USA 97                                                                 | Black Pearl                  | Super Nintendo | 1996 | NTSC (NA)
|       | College Slam                                                                            | Acclaim                      | Super Nintendo | 1996 | NTSC (NA)
|       | Combatribes, The                                                                        | Technos                      | Super Nintendo | 1993 | NTSC (NA)
|       | Congo's Caper                                                                           | Data East USA                | Super Nintendo | 1993 | NTSC (NA)
|       | Contra III: The Alien Wars                                                              | Konami                       | Super Nintendo | 1992 | NTSC (NA)
|       | Cool Spot                                                                               | Virgin Interactive           | Super Nintendo | 1993 | NTSC (NA)
|       | Cool World                                                                              | Ocean                        | Super Nintendo | 1993 | NTSC (NA)
|       | Cutthroat Island                                                                        | Acclaim                      | Super Nintendo | 1996 | NTSC (NA)
|       | Cyber Spin                                                                              | Takara                       | Super Nintendo | 1992 | NTSC (NA)
|       | Cybernator                                                                              | Konami                       | Super Nintendo | 1993 | NTSC (NA)
|       | D-Force                                                                                 | Asmik Corporation of America | Super Nintendo | 1991 | NTSC (NA)
|       | Daffy Duck: The Marvin Missions                                                         | SunSoft                      | Super Nintendo | 1993 | NTSC (NA)
|       | Darius Twin                                                                             | Taito Corporation            | Super Nintendo | 1991 | NTSC (NA)
|       | David Crane's Amazing Tennis                                                            | Absolute Entertainment       | Super Nintendo | 1992 | NTSC (NA)
|       | Death and Return of Superman, The                                                       | SunSoft                      | Super Nintendo | 1994 | NTSC (NA)
|       | Demolition Man                                                                          | Acclaim                      | Super Nintendo | 1995 | NTSC (NA)
|       | Demon's Crest                                                                           | Capcom                       | Super Nintendo | 1994 | NTSC (NA)
|       | Dennis the Menace                                                                       | Ocean                        | Super Nintendo | 1993 | NTSC (NA)
