|       | Blockbuster World Video Game Championship II              | Acclaim                      | Sega Genesis | 1995 | NTSC (NA)
|       | Blockout                                                  | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | Bonanza Brothers                                          | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Boogerman: A Pick and Flick Adventure                     | Interplay                    | Sega Genesis | 1994 | NTSC (NA)
|       | Boxing Legends of the Ring                                | Electro Brain                | Sega Genesis | 1993 | NTSC (NA)
|       | Bram Stoker's Dracula                                     | Sony Imagesoft               | Sega Genesis | 1993 | NTSC (NA)
|       | Brett Hull Hockey 95                                      | Accolade                     | Sega Genesis | 1994 | NTSC (NA)
|       | Brutal: Paws of Fury                                      | GameTek                      | Sega Genesis | 1994 | NTSC (NA)
|       | Bubba 'n' Stix                                            | Core Design Ltd.             | Sega Genesis | 1993 | NTSC (NA)
|       | Bubble and Squeak                                         | SunSoft                      | Sega Genesis | 1994 | NTSC (NA)
|       | Bubsy II                                                  | Accolade                     | Sega Genesis | 1994 | NTSC (NA)
|       | Bubsy in: Claws Encounters of the Furred Kind             | Accolade                     | Sega Genesis | 1993 | NTSC (NA)
|       | Buck Rogers: Countdown to Doomsday                        | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | Budokan: The Martial Spirit                               | Electronic Arts              | Sega Genesis | 1990 | NTSC (NA)
|       | Bugs Bunny in Double Trouble                              | Sega                         | Sega Genesis | 1996 | NTSC (NA)
|       | Bulls versus Blazers and the NBA Playoffs                 | EA Sports                    | Sega Genesis | 1993 | NTSC (NA)
|       | Bulls vs Lakers and the NBA Playoffs                      | Electronic Arts              | Sega Genesis | 1992 | NTSC (NA)
|       | Burning Force                                             | Namco                        | Sega Genesis | 1990 | NTSC (NA)
|       | Cadash                                                    | Taito Corporation            | Sega Genesis | 1992 | NTSC (NA)
|       | Caesars Palace                                            | Virgin Interactive           | Sega Genesis | 1993 | NTSC (NA)
|       | Cal Ripken Jr. Baseball                                   | Mindscape Inc.               | Sega Genesis | 1992 | NTSC (NA)
|       | Caliber .50                                               | Mentrix Software, Inc.       | Sega Genesis | 1991 | NTSC (NA)
|       | California Games                                          | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Captain America and the Avengers                          | Data East                    | Sega Genesis | 1992 | NTSC (NA)
|       | Cascade                                                   | Super Fighter Team           | Sega Genesis | 2015 | NTSC (NA)
|       | Castle of Illusion starring Mickey Mouse                  | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | Castlevania: Bloodlines                                   | Konami                       | Sega Genesis | 1994 | NTSC (NA)
|       | Centurion: Defender of Rome                               | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | Chakan                                                    | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Champions World Class Soccer                              | Flying Edge                  | Sega Genesis | 1993 | NTSC (NA)
|       | Championship Bowling                                      | Mentrix Software, Inc.       | Sega Genesis | 1993 | NTSC (NA)
|       | Championship Pool                                         | Mindscape Inc.               | Sega Genesis | 1993 | NTSC (NA)
|       | Championship Pro-Am                                       | Tradewest                    | Sega Genesis | 1992 | NTSC (NA)
|       | Chase H.Q. II                                             | Taito Corporation            | Sega Genesis | 1992 | NTSC (NA)
|       | Chester Cheetah: Too Cool to Fool                         | Kaneko                       | Sega Genesis | 1992 | NTSC (NA)
|       | Chester Cheetah: Wild Wild Quest                          | Kaneko                       | Sega Genesis | 1992 | NTSC (NA)
|       | Chi Chi's Pro Challenge Golf                              | Virgin Interactive           | Sega Genesis | 1993 | NTSC (NA)
|       | Chiki Chiki Boys                                          | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Chuck Rock                                                | Virgin Games                 | Sega Genesis | 1992 | NTSC (NA)
|       | Chuck Rock II: Son of Chuck                               | Virgin Interactive           | Sega Genesis | 1993 | NTSC (NA)
|       | ClayFighter                                               | Interplay                    | Sega Genesis | 1994 | NTSC (NA)
|       | Cliffhanger                                               | Sony Imagesoft               | Sega Genesis | 1993 | NTSC (NA)
|       | Clue                                                      | Parker Bros.                 | Sega Genesis | 1992 | NTSC (NA)
|       | Coach K College Basketball                                | EA Sports                    | Sega Genesis | 1995 | NTSC (NA)
|       | College Football USA 96                                   | EA Sports                    | Sega Genesis | 1995 | NTSC (NA)
|       | College Football USA 97                                   | EA Sports                    | Sega Genesis | 1996 | NTSC (NA)
|       | College Football's National Championship                  | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | College Football's National Championship II               | Sega                         | Sega Genesis | 1995 | NTSC (NA)
|       | College Slam                                              | Acclaim                      | Sega Genesis | 1996 | NTSC (NA)
|       | Columns                                                   | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | Columns III                                               | Vic Tokai                    | Sega Genesis | 1993 | NTSC (NA)
|       | Combat Cars                                               | Accolade                     | Sega Genesis | 1994 | NTSC (NA)
|       | Comix Zone                                                | Sega                         | Sega Genesis | 1995 | NTSC (NA)
|       | Contra: Hard Corps                                        | Konami                       | Sega Genesis | 1994 | NTSC (NA)
|       | Cool Spot                                                 | Virgin Interactive           | Sega Genesis | 1994 | NTSC (NA)
|       | Cosmic Spacehead                                          | Codemasters                  | Sega Genesis | 1993 | NTSC (NA)
|       | Crack Down                                                | Sage's Creation              | Sega Genesis | 1991 | NTSC (NA)
|       | CrossFire                                                 | Kyugo Boueki                 | Sega Genesis | 1991 | NTSC (NA)
|       | Crue Ball                                                 | Electronic Arts              | Sega Genesis | 1992 | NTSC (NA)
|       | Crusader of Centy                                         | ATLUS                        | Sega Genesis | 1994 | NTSC (NA)
|       | Crystal's Pony Tale                                       | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | Cutthroat Island                                          | Acclaim                      | Sega Genesis | 1995 | NTSC (NA)
|       | Cyber-Cop                                                 | Virgin Games                 | Sega Genesis | 1992 | NTSC (NA)
|       | Cyberball                                                 | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | Cyborg Justice                                            | Capcom                       | Sega Genesis | 1993 | NTSC (NA)
|       | Dark Castle                                               | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | Dashin' Desperadoes                                       | Data East                    | Sega Genesis | 1993 | NTSC (NA)
|       | David Crane's Amazing Tennis                              | Absolute Entertainment       | Sega Genesis | 1992 | NTSC (NA)
|       | David Robinson's Supreme Court                            | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Davis Cup Tennis                                          | Tengen                       | Sega Genesis | 1993 | NTSC (NA)
|       | Deadly Moves                                              | Kaneko                       | Sega Genesis | 1992 | NTSC (NA)
