Platform	Name	Region	Code	Game	Box	Manual	Year	Comment
Nintendo Entertainment System	Battle Fleet	Japan		No	No	No	1990	
Nintendo Entertainment System	Battle Formula	Japan		No	No	No	1991	
Nintendo Entertainment System	Battle Rush: Build Up Robot Tournament	Japan		No	No	No	1993	
Nintendo Entertainment System	Battle Stadium: Senbatsu Pro Yakyuu	Japan		No	No	No	1990	
Nintendo Entertainment System	Battle Storm	Japan		No	No	No	1991	
Nintendo Entertainment System	Battletoads	Japan		No	No	No	1991	
Nintendo Entertainment System	Be-Bop High School: Koukousei Gokuraku Densetsu	Japan		No	No	No	1988	
Nintendo Entertainment System	Best Keiba Derby Stallion	Japan		No	No	No	1991	
Nintendo Entertainment System	Best Play Pro Yakyuu	Japan		No	No	No	1988	
Nintendo Entertainment System	Best Play Pro Yakyuu '90	Japan		No	No	No	1990	
Nintendo Entertainment System	Best Play Pro Yakyuu II	Japan		No	No	No	1990	
Nintendo Entertainment System	Best Play Pro Yakyuu Special	Japan		No	No	No	1992	
Nintendo Entertainment System	Bikkuri Nekketsu Shin Kiroku! Harukanaru Kin Medal	Japan		No	No	No	1992	
Nintendo Entertainment System	Bikkuriman World: Gekitou Sei Senshi	Japan		No	No	No	1990	
Nintendo Entertainment System	Binary Land	Japan		No	No	No	1985	
Nintendo Entertainment System	Bio Senshi Dan: Increaser tono Tatakai	Japan		No	No	No	1987	
Nintendo Entertainment System	Bio-Miracle Bokutte Upa	Japan		No	No	No	1993	
Nintendo Entertainment System	Bird Week	Japan		No	No	No	1986	
Nintendo Entertainment System	Black Bass II, The	Japan		No	No	No	1988	
Nintendo Entertainment System	Black Bass, The	Japan		No	No	No	1987	
Nintendo Entertainment System	Blodia Land: Puzzle Quest	Japan		No	No	No	1990	
Nintendo Entertainment System	Bloody Warriors: Shango no Gyakushuu	Japan		No	No	No	1990	
Nintendo Entertainment System	Blue Marlin, The	Japan		No	No	No	1991	
Nintendo Entertainment System	Bokosuka Wars	Japan		No	No	No	1985	
Nintendo Entertainment System	Bomber King	Japan		No	No	No	1987	
Nintendo Entertainment System	Bomberman	Japan		No	No	No	1985	
Nintendo Entertainment System	Bomberman II	Japan		No	No	No	1991	
Nintendo Entertainment System	Booby Kids	Japan		No	No	No	1987	
Nintendo Entertainment System	Boulder Dash	Japan		No	No	No	1990	
Nintendo Entertainment System	Bubble Bobble 2	Japan		No	No	No	1993	
Nintendo Entertainment System	Bucky O'Hare	Japan		No	No	No	1992	
Nintendo Entertainment System	Buggy Popper	Japan		No	No	No	1986	
Nintendo Entertainment System	Burai Fighter	Japan		No	No	No	1990	
Nintendo Entertainment System	BurgerTime	Japan		No	No	No	1985	
Nintendo Entertainment System	Business Wars	Japan		No	No	No	1992	
Nintendo Entertainment System	Cadillac	Japan		No	No	No	1990	
Nintendo Entertainment System	Capcom Barcelona '92	Japan		No	No	No	1992	
Nintendo Entertainment System	Captain Ed	Japan		No	No	No	1989	
Nintendo Entertainment System	Captain Saver	Japan		No	No	No	1992	
Nintendo Entertainment System	Captain Silver	Japan		No	No	No	1988	
Nintendo Entertainment System	Captain Tsubasa	Japan		No	No	No	1988	
Nintendo Entertainment System	Captain Tsubasa II: Super Striker	Japan		No	No	No	1990	
Nintendo Entertainment System	Casino Derby & Super Bingo	Japan		No	No	No	1993	
Nintendo Entertainment System	Castle Excellent	Japan		No	No	No	1986	
Nintendo Entertainment System	Castle Quest	Japan		No	No	No	1990	
Nintendo Entertainment System	Chack'n Pop	Japan		No	No	No	1985	
Nintendo Entertainment System	Challenger	Japan		No	No	No	1985	
Nintendo Entertainment System	Championship Bowling	Japan		No	No	No	1991	
Nintendo Entertainment System	Championship Lode Runner	Japan		No	No	No	1985	
Nintendo Entertainment System	Chaos World	Japan		No	No	No	1991	
Nintendo Entertainment System	Chase H.Q.	Japan		No	No	No	1989	
Nintendo Entertainment System	Chester Field: Ankoku Shin e no Chousen	Japan		No	No	No	1987	
Nintendo Entertainment System	Chibi Maruko-Chan: Uki Uki Shopping	Japan		No	No	No	1991	
Nintendo Entertainment System	Chiisana Obake: Acchi Socchi Kocchi	Japan		No	No	No	1992	
Nintendo Entertainment System	Chiki Chiki Machine Mou Race	Japan		No	No	No	1991	
Nintendo Entertainment System	Chip to Dale no Daisakusen	Japan		No	No	No	1990	
Nintendo Entertainment System	Chitei Senkou Bazolder	Japan		No	No	No	1991	
Nintendo Entertainment System	Chiyonofuji no Ooichou	Japan		No	No	No	1990	
Nintendo Entertainment System	Choplifter	Japan		No	No	No	1986	
Nintendo Entertainment System	Chou-Wakusei Senki MetaFight	Japan		No	No	No	1988	
Nintendo Entertainment System	Choujikuu Yousai Macross	Japan		No	No	No	1985	
Nintendo Entertainment System	Choujin Sentai Jetman	Japan		No	No	No	1991	
Nintendo Entertainment System	Choujin Ultra Baseball	Japan		No	No	No	1989	
Nintendo Entertainment System	Choujinrou Senki Warwolf	Japan		No	No	No	1991	
Nintendo Entertainment System	Chuka Taisen	Japan		No	No	No	1989	
Nintendo Entertainment System	Chuugoku Janshi Story: Tonpuu	Japan		No	No	No	1989	
Nintendo Entertainment System	Chuugoku Senseijutsu	Japan		No	No	No	1988	
Nintendo Entertainment System	Circus Charlie	Japan		No	No	No	1986	
Nintendo Entertainment System	City Adventure Touch: Mystery of Triangle	Japan		No	No	No	1987	
Nintendo Entertainment System	City Connection	Japan		No	No	No	1985	
Nintendo Entertainment System	Clu Clu Land	Japan		No	No	No	1984	
Nintendo Entertainment System	Cobra Command	Japan		No	No	No	1988	
Nintendo Entertainment System	Cocoron	Japan		No	No	No	1991	
Nintendo Entertainment System	Columbus: Ougon no Yoake	Japan		No	No	No	1992	
Nintendo Entertainment System	Conflict	Japan		No	No	No	1989	
Nintendo Entertainment System	Contra	Japan		No	No	No	1988	
Nintendo Entertainment System	Cosmic Epsilon	Japan		No	No	No	1989	
Nintendo Entertainment System	Cosmic Wars	Japan		No	No	No	1989	
Nintendo Entertainment System	Cosmo Genesis	Japan		No	No	No	1986	
Nintendo Entertainment System	Cosmo Police Galivan	Japan		No	No	No	1988	
Nintendo Entertainment System	Crayon Shin-Chan: Ora to Poi Poi	Japan		No	No	No	1993	
Nintendo Entertainment System	Crazy Climber	Japan		No	No	No	1986	
Nintendo Entertainment System	Crisis Force	Japan		No	No	No	1991	
Nintendo Entertainment System	CrossFire	Japan		No	No	No	1990	
Nintendo Entertainment System	Cycle Race: Road Man	Japan		No	No	No	1988	
Nintendo Entertainment System	Dai Meiro: Meikyu no Tatsujin	Japan		No	No	No	1990	
Nintendo Entertainment System	Dai-2-Ji Super Robot Taisen	Japan		No	No	No	1991	
Nintendo Entertainment System	Daikaijyu Deburasu	Japan		No	No	No	1990	
Nintendo Entertainment System	Daikoukai Jidai	Japan		No	No	No	1991	
Nintendo Entertainment System	Daiku no Gen-San	Japan		No	No	No	1991	
Nintendo Entertainment System	Daiku no Gen-San 2: Akage no Dan no Gyakushuu	Japan		No	No	No	1993	
Nintendo Entertainment System	Daisenryaku	Japan		No	No	No	1988	
Nintendo Entertainment System	Daiva Story 6: Imperial of Nirsartia	Japan		No	No	No	1986	
Nintendo Entertainment System	Dark Lord	Japan		No	No	No	1991	
Nintendo Entertainment System	Dash Yarou	Japan		No	No	No	1990	
Nintendo Entertainment System	Datsugoku: Prisoners of War	Japan		No	No	No	1989	
Nintendo Entertainment System	De-Block	Japan		No	No	No	1991	
Nintendo Entertainment System	Dead Fox	Japan		No	No	No	1990	
Nintendo Entertainment System	Deep Dungeon III: Yuushi e no Tabi	Japan		No	No	No	1988	
Nintendo Entertainment System	Deep Dungeon IV: Kuro no Youjutsushi	Japan		No	No	No	1990	
Nintendo Entertainment System	Deja Vu: Akumu wa Hotouni Yatte Raita	Japan		No	No	No	1988	
Nintendo Entertainment System	Dengeki Big Bang!	Japan		No	No	No	1989	
Nintendo Entertainment System	Densetsu no Kishi Elrond	Japan		No	No	No	1988	
Nintendo Entertainment System	Derby Stallion Zengokuban	Japan		No	No	No	1992	
Nintendo Entertainment System	Devil Man	Japan		No	No	No	1989	
Nintendo Entertainment System	Devil World	Japan		No	No	No	1984	
Nintendo Entertainment System	Dezaemon	Japan		No	No	No	1991	
Nintendo Entertainment System	Die Hard	Japan		No	No	No	1991	
Nintendo Entertainment System	Dig Dug	Japan		No	No	No	1985	
Nintendo Entertainment System	Dig Dug II	Japan		No	No	No	1986	
Nintendo Entertainment System	Digital Devil Monogatari: Megami Tensei	Japan		No	No	No	1987	
Nintendo Entertainment System	Digital Devil Monogatari: Megami Tensei II	Japan		No	No	No	1990	
Nintendo Entertainment System	Disney's Chip to Dale no Daisakusen 2	Japan		No	No	No	1993	
Nintendo Entertainment System	Disney's DuckTales 2	Japan		No	No	No	1993	
Nintendo Entertainment System	Doki! Doki! Yuuenchi: Crazy Land Daisakusen	Japan		No	No	No	1991	
Nintendo Entertainment System	Dokuganryu Masamune	Japan		No	No	No	1988	
Nintendo Entertainment System	Don Doko Don	Japan		No	No	No	1990	
Nintendo Entertainment System	Don Doko Don 2	Japan		No	No	No	1992	
Nintendo Entertainment System	Donald Duck	Japan		No	No	No	1988	
Nintendo Entertainment System	Donald Land	Japan		No	No	No	1988	
Nintendo Entertainment System	Donkey Kong	Japan		No	No	No	1983	
Nintendo Entertainment System	Donkey Kong 3	Japan		No	No	No	1984	
Nintendo Entertainment System	Donkey Kong Jr.	Japan		No	No	No	1983	
Nintendo Entertainment System	Donkey Kong Jr. no Sansuu Asobi	Japan		No	No	No	1983	
Nintendo Entertainment System	Door Door	Japan		No	No	No	1985	
Nintendo Entertainment System	Doraemon	Japan		No	No	No	1986	
Nintendo Entertainment System	Doraemon: Giga Zombie no Gyakushuu	Japan		No	No	No	1990	
Nintendo Entertainment System	Double Dragon	Japan		No	No	No	1988	
Nintendo Entertainment System	Double Dragon II: The Revenge	Japan		No	No	No	1989	
Nintendo Entertainment System	Double Dragon III: The Rosetta Stone	Japan		No	No	No	1991	
Nintendo Entertainment System	Double Moon Densetsu	Japan		No	No	No	1992	
Nintendo Entertainment System	Dough Boy	Japan		No	No	No	1985	
Nintendo Entertainment System	Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai	Japan		No	No	No	1990	
Nintendo Entertainment System	Downtown Nekketsu Monogatari	Japan		No	No	No	1989	
Nintendo Entertainment System	Downtown Special: Kunio-kun no Jidaigeki Dayo Zenin Shuugou!	Japan		No	No	No	1991	
Nintendo Entertainment System	Dr. Mario	Japan		No	No	No	1990	
Nintendo Entertainment System	Dragon Ball 3: Gokuuden	Japan		No	No	No	1989	
Nintendo Entertainment System	Dragon Ball Z Gaiden: Saiya-jin Zetsumetsu Keikaku	Japan		No	No	No	1993	
Nintendo Entertainment System	Dragon Ball Z II: Gekigami Freeza!!	Japan		No	No	No	1991	
Nintendo Entertainment System	Dragon Ball Z III: Ressen Jinzou Ningen	Japan		No	No	No	1992	
Nintendo Entertainment System	Dragon Ball Z: Gekitou Tenkaichi Budokai	Japan		No	No	No	1992	
Nintendo Entertainment System	Dragon Ball Z: Kyoushuu! Saiyajin	Japan		No	No	No	1990	
Nintendo Entertainment System	Dragon Ball: Daimaou Fukkatsu	Japan		No	No	No	1988	
Nintendo Entertainment System	Dragon Ball: Shenron no Nazo	Japan		No	No	No	1986	
Nintendo Entertainment System	Dragon Buster	Japan		No	No	No	1987	
Nintendo Entertainment System	Dragon Buster II: Yami no Fuuin	Japan		No	No	No	1989	
Nintendo Entertainment System	Dragon Fighter	Japan		No	No	No	1990	
Nintendo Entertainment System	Dragon Ninja	Japan		No	No	No	1989	
Nintendo Entertainment System	Dragon Quest	Japan		No	No	No	1986	
Nintendo Entertainment System	Dragon Quest II: Akuryou no Kamigami	Japan		No	No	No	1987	
Nintendo Entertainment System	Dragon Quest III: Soshite Densetsu e...	Japan		No	No	No	1988	
Nintendo Entertainment System	Dragon Quest IV: Michibikareshi Monotachi	Japan		No	No	No	1990	
Nintendo Entertainment System	Dragon Scroll: Yomigaerishi Maryuu	Japan		No	No	No	1987	
Nintendo Entertainment System	Dragon Slayer IV: Drasle Family	Japan		No	No	No	1987	
Nintendo Entertainment System	Dragon Spirit: Aratanaru Densetsu	Japan		No	No	No	1989	
Nintendo Entertainment System	Dragon Unit	Japan		No	No	No	1990	
Nintendo Entertainment System	Dragon Wars	Japan		No	No	No	1991	
Nintendo Entertainment System	Dream Master	Japan		No	No	No	1992	
Nintendo Entertainment System	Druaga no Tou	Japan		No	No	No	1985	
Nintendo Entertainment System	Duck Hunt	Japan		No	No	No	1984	
Nintendo Entertainment System	Dungeon & Magic: Swords of Element	Japan		No	No	No	1989	
Nintendo Entertainment System	Dungeon Kid	Japan		No	No	No	1990	
Nintendo Entertainment System	Dynamite Batman	Japan		No	No	No	1991	
Nintendo Entertainment System	Dynamite Bowl	Japan		No	No	No	1987	
Nintendo Entertainment System	Eggerland: Meikyuu no Fukkatsu	Japan		No	No	No	1988	
Nintendo Entertainment System	Egypt	Japan		No	No	No	1991	
Nintendo Entertainment System	Elevator Action	Japan		No	No	No	1985	
Nintendo Entertainment System	Elnark no Zaihou	Japan		No	No	No	1987	
Nintendo Entertainment System	Elysion	Japan		No	No	No	1988	
Nintendo Entertainment System	Emoyan no 10-bai Pro Yakyuu	Japan		No	No	No	1989	
Nintendo Entertainment System	Erika to Satoru no Yume Bouken	Japan		No	No	No	1988	
Nintendo Entertainment System	Esper Boukentai	Japan		No	No	No	1987	
Nintendo Entertainment System	Esper Dream 2: Aratanaru Tatakai	Japan		No	No	No	1992	
Nintendo Entertainment System	Excitebike	Japan		No	No	No	1984	
Nintendo Entertainment System	Exciting Boxing	Japan		No	No	No	1987	
Nintendo Entertainment System	Exciting Rally: World Rally Championship	Japan		No	No	No	1992	
Nintendo Entertainment System	Exed Exes	Japan		No	No	No	1985	
Nintendo Entertainment System	Exerion	Japan		No	No	No	1985	
Nintendo Entertainment System	F-1 Sensation	Japan		No	No	No	1993	
Nintendo Entertainment System	F1 Circus	Japan		No	No	No	1992	
Nintendo Entertainment System	F1 Race	Japan		No	No	No	1984	
Nintendo Entertainment System	Famicom Doubutsu Seitai Zukan! Katte ni Shirokuma: Mori o Sukue no Maki!	Japan		No	No	No	1989	
Nintendo Entertainment System	Famicom Igo Nyuumon	Japan		No	No	No	1991	
Nintendo Entertainment System	Famicom Jump II: Saikyou no 7-nin	Japan		No	No	No	1991	
Nintendo Entertainment System	Famicom Jump: Eiyuu Retsuden	Japan		No	No	No	1989	
Nintendo Entertainment System	Famicom Meijinsen	Japan		No	No	No	1988	
Nintendo Entertainment System	Famicom Shogi: Ryuu-Ou-Sen	Japan		No	No	No	1991	
Nintendo Entertainment System	Famicom Top Management	Japan		No	No	No	1990	
Nintendo Entertainment System	Famicom Wars	Japan		No	No	No	1988	
Nintendo Entertainment System	Famicom Yakyuuban	Japan		No	No	No	1989	
Nintendo Entertainment System	Family Basic	Japan		No	No	No	1984	
Nintendo Entertainment System	Family Basic V3	Japan		No	No	No	1985	
Nintendo Entertainment System	Family Block	Japan		No	No	No	1991	
Nintendo Entertainment System	Family Boxing	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Circuit	Japan		No	No	No	1988	
Nintendo Entertainment System	Family Circuit '91	Japan		No	No	No	1991	
Nintendo Entertainment System	Family Jockey	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Mahjong	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Mahjong II: Shanghai he no Michi	Japan		No	No	No	1988	
Nintendo Entertainment System	Family Pinball	Japan		No	No	No	1989	
Nintendo Entertainment System	Family Quiz: 4-nin wa Rival	Japan		No	No	No	1988	
Nintendo Entertainment System	Family Tennis	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Trainer: Aerobics Studio	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Trainer: Athletic World	Japan		No	No	No	1986	
Nintendo Entertainment System	Family Trainer: Famitre Daiundoukai	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Trainer: Fuuun! Takeshi Jou 2	Japan		No	No	No	1988	
Nintendo Entertainment System	Family Trainer: Jogging Race	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Trainer: Manhattan Police	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Trainer: Meiro Daisakusen	Japan		No	No	No	1987	
Nintendo Entertainment System	Family Trainer: Rai Rai Kyonshis: Baby Kyonshi no Amida Daibouken	Japan		No	No	No	1989	
Nintendo Entertainment System	Family Trainer: Running Stadium	Japan		No	No	No	1986	
Nintendo Entertainment System	Family Trainer: Totsugeki! Fuuun Takeshi Jou	Japan		No	No	No	1987	
Nintendo Entertainment System	Famista '89: Kaimaku Han!!	Japan		No	No	No	1989	
Nintendo Entertainment System	Famista '90	Japan		No	No	No	1989	
Nintendo Entertainment System	Famista '91	Japan		No	No	No	1990	
Nintendo Entertainment System	Famista '92	Japan		No	No	No	1991	
Nintendo Entertainment System	Famista '93	Japan		No	No	No	1992	
Nintendo Entertainment System	Famista '94	Japan		No	No	No	1993	
Nintendo Entertainment System	Fantasy Zone	Japan		No	No	No	1987	
Nintendo Entertainment System	Fantasy Zone II: Opa-Opa no Namida	Japan		No	No	No	1988	
Nintendo Entertainment System	Faria: Fuuin no Tsurugi	Japan		No	No	No	1989	
Nintendo Entertainment System	Faxanadu	Japan		No	No	No	1987	
Nintendo Entertainment System	FC Genjin: Frekthoropus Computerus	Japan		No	No	No	1993	
Nintendo Entertainment System	Ferrari	Japan		No	No	No	1992	
Nintendo Entertainment System	Field Combat	Japan		No	No	No	1985	
Nintendo Entertainment System	Fighting Golf	Japan		No	No	No	1988	
Nintendo Entertainment System	Fighting Road	Japan		No	No	No	1988	
Nintendo Entertainment System	Final Fantasy	Japan		No	No	No	1987	
Nintendo Entertainment System	Final Fantasy I & II	Japan		No	No	No	1994	
Nintendo Entertainment System	Final Fantasy II	Japan		No	No	No	1988	
Nintendo Entertainment System	Final Fantasy III	Japan		No	No	No	1990	
Nintendo Entertainment System	Final Lap	Japan		No	No	No	1988	
Nintendo Entertainment System	Final Mission	Japan		No	No	No	1990	
Nintendo Entertainment System	Fire Emblem Gaiden	Japan		No	No	No	1992	
Nintendo Entertainment System	Fire Emblem: Ankoku Ryu to Hikari no Tsurugi	Japan		No	No	No	1990	
Nintendo Entertainment System	Flappy	Japan		No	No	No	1985	
Nintendo Entertainment System	Fleet Commander	Japan		No	No	No	1988	
Nintendo Entertainment System	Flintstones: The Rescue of Dino & Hoppy, The	Japan		No	No	No	1992	
Nintendo Entertainment System	Flipull: An Exciting Cube Game	Japan		No	No	No	1989	
Nintendo Entertainment System	Flying Hero	Japan		No	No	No	1989	
Nintendo Entertainment System	Formation Z	Japan		No	No	No	1985	
Nintendo Entertainment System	Front Line	Japan		No	No	No	1985	
Nintendo Entertainment System	Fudo Myouoden	Japan		No	No	No	1988	
Nintendo Entertainment System	Fushigi na Blobby: Blobania no Kiki	Japan		No	No	No	1990	
Nintendo Entertainment System	Fushigi no Umi Nadia: The Secret of Blue Water	Japan		No	No	No	1991	
Nintendo Entertainment System	Fuzzical Fighter	Japan		No	No	No	1991	
Nintendo Entertainment System	Galaga	Japan		No	No	No	1985	
Nintendo Entertainment System	Galaxian	Japan		No	No	No	1984	
Nintendo Entertainment System	Gambler Jiko Chuushinha	Japan		No	No	No	1988	
Nintendo Entertainment System	Gambler Jiko Chuushinha 2	Japan		No	No	No	1990	
Nintendo Entertainment System	Game Party	Japan		No	No	No	1990	
Nintendo Entertainment System	Ganbare Goemon 2	Japan		No	No	No	1989	
Nintendo Entertainment System	Ganbare Goemon Gaiden 2: Tenka no Zaihou	Japan		No	No	No	1992	
Nintendo Entertainment System	Ganbare Goemon Gaiden: Kieta Ougon Kiseru	Japan		No	No	No	1990	
Nintendo Entertainment System	Ganbare Goemon! Karakuri Douchuu	Japan		No	No	No	1986	
Nintendo Entertainment System	Ganbare Pennant Race!	Japan		No	No	No	1989	
Nintendo Entertainment System	Ganso Saiyuuki: Super Monkey Daibouken	Japan		No	No	No	1986	
Nintendo Entertainment System	Garfield no Isshukan: A Week of Garfield	Japan		No	No	No	1989	
Nintendo Entertainment System	Gegege no Kitaro: Youkai Daimakyou	Japan		No	No	No	1986	
Nintendo Entertainment System	Gegege no Kitarou 2: Youkai Gundan no Chousen	Japan		No	No	No	1987	
Nintendo Entertainment System	Geimos	Japan		No	No	No	1985	
Nintendo Entertainment System	Gekikame Ninja Den	Japan		No	No	No	1989	
Nintendo Entertainment System	Gekitotsu Yonku Battle	Japan		No	No	No	1989	
Nintendo Entertainment System	Gekitou Pro Wrestling!! Toukon Densetsu	Japan		No	No	No	1989	
Nintendo Entertainment System	Gekitou!! Stadium	Japan		No	No	No	1989	
Nintendo Entertainment System	Genpei Toumaden	Japan		No	No	No	1988	
Nintendo Entertainment System	Getsu Fuuma Den	Japan		No	No	No	1987	
Nintendo Entertainment System	Ghostbusters	Japan		No	No	No	1986	
Nintendo Entertainment System	Gimme a Break: Shijou Saikyou no Quiz Ou Ketteisen	Japan		No	No	No	1991	
Nintendo Entertainment System	Gimme a Break: Shijou Saikyou no Quiz Ou Ketteisen 2	Japan		No	No	No	1992	
Nintendo Entertainment System	Gimmick!	Japan		No	No	No	1992	
Nintendo Entertainment System	Ginga Eiyuu Densetsu	Japan		No	No	No	1988	
Nintendo Entertainment System	Ginga no Sannin	Japan		No	No	No	1987	
Nintendo Entertainment System	Goal!!	Japan		No	No	No	1992	
